ANNO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;AREA_SD;N_PERS_DR
1997;M;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;672
1997;F;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;106
1997;F;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;30
1997;M;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;622
1997;F;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;83
1997;M;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;741
1997;F;1PO;Professore I fascia (ordinario);04 - Scienze della terra;28
1997;M;1PO;Professore I fascia (ordinario);04 - Scienze della terra;321
1997;F;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;253
1997;M;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;981
1997;M;1PO;Professore I fascia (ordinario);06 - Scienze mediche;2042
1997;F;1PO;Professore I fascia (ordinario);06 - Scienze mediche;120
1997;F;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;50
1997;M;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;759
1997;F;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;63
1997;M;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;748
1997;F;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;26
1997;M;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;1120
1997;F;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;384
1997;M;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;893
1997;F;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;175
1997;M;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;785
1997;F;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;87
1997;M;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;1072
1997;F;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;90
1997;M;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;860
1997;M;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;251
1997;F;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;29
1997;F;1PO;Professore I fascia (ordinario);99 - Non definito;1
1997;M;1PO;Professore I fascia (ordinario);99 - Non definito;9
1997;F;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;362
1997;M;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;564
1997;F;2PA;Professore II fascia (associato);02 - Scienze fisiche;141
1997;M;2PA;Professore II fascia (associato);02 - Scienze fisiche;803
1997;F;2PA;Professore II fascia (associato);03 - Scienze chimiche;278
1997;M;2PA;Professore II fascia (associato);03 - Scienze chimiche;829
1997;M;2PA;Professore II fascia (associato);04 - Scienze della terra;370
1997;F;2PA;Professore II fascia (associato);04 - Scienze della terra;82
1997;M;2PA;Professore II fascia (associato);05 - Scienze biologiche;790
1997;F;2PA;Professore II fascia (associato);05 - Scienze biologiche;609
1997;F;2PA;Professore II fascia (associato);06 - Scienze mediche;544
1997;M;2PA;Professore II fascia (associato);06 - Scienze mediche;2698
1997;F;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;160
1997;M;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;562
1997;F;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;155
1997;M;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;888
1997;F;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;93
1997;M;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;1062
1997;M;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;741
1997;F;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;799
1997;F;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;391
1997;M;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;817
1997;F;2PA;Professore II fascia (associato);12 - Scienze giuridiche;173
1997;M;2PA;Professore II fascia (associato);12 - Scienze giuridiche;524
1997;F;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;189
1997;M;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;613
1997;F;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;96
1997;M;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;281
1997;F;2PA;Professore II fascia (associato);99 - Non definito;1
1997;M;2PA;Professore II fascia (associato);99 - Non definito;3
1997;F;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;439
1997;M;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;604
1997;F;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;185
1997;M;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;569
1997;F;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;477
1997;M;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;588
1997;F;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;151
1997;M;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;286
1997;M;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;663
1997;F;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;918
1997;F;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;1118
1997;M;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;2691
1997;F;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;393
1997;M;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;717
1997;F;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;342
1997;M;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;982
1997;F;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;186
1997;M;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;1267
1997;F;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;1486
1997;M;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;771
1997;F;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;935
1997;M;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;870
1997;F;3RU;Ricercatore a tempo indeterminato;12 - Scienze giuridiche;584
1997;M;3RU;Ricercatore a tempo indeterminato;12 - Scienze giuridiche;903
1997;M;3RU;Ricercatore a tempo indeterminato;13 - Scienze economiche e statistiche;834
1997;F;3RU;Ricercatore a tempo indeterminato;13 - Scienze economiche e statistiche;501
1997;F;3RU;Ricercatore a tempo indeterminato;14 - Scienze politiche e sociali;229
1997;M;3RU;Ricercatore a tempo indeterminato;14 - Scienze politiche e sociali;323
1997;F;3RU;Ricercatore a tempo indeterminato;99 - Non definito;32
1997;M;3RU;Ricercatore a tempo indeterminato;99 - Non definito;124
1998;F;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;106
1998;M;1PO;Professore I fascia (ordinario);01 - Scienze matematiche e informatiche;673
1998;F;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;30
1998;M;1PO;Professore I fascia (ordinario);02 - Scienze fisiche;620
1998;M;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;743
1998;F;1PO;Professore I fascia (ordinario);03 - Scienze chimiche;83
1998;M;1PO;Professore I fascia (ordinario);04 - Scienze della terra;322
1998;F;1PO;Professore I fascia (ordinario);04 - Scienze della terra;28
1998;F;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;253
1998;M;1PO;Professore I fascia (ordinario);05 - Scienze biologiche;979
1998;F;1PO;Professore I fascia (ordinario);06 - Scienze mediche;120
1998;M;1PO;Professore I fascia (ordinario);06 - Scienze mediche;2048
1998;F;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;50
1998;M;1PO;Professore I fascia (ordinario);07 - Scienze agrarie e veterinarie;759
1998;M;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;747
1998;F;1PO;Professore I fascia (ordinario);08 - Ingegneria civile e architettura;63
1998;F;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;26
1998;M;1PO;Professore I fascia (ordinario);09 - Ingegneria industriale e dell'informazione;1120
1998;F;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;384
1998;M;1PO;Professore I fascia (ordinario);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;894
1998;F;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;175
1998;M;1PO;Professore I fascia (ordinario);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;785
1998;F;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;87
1998;M;1PO;Professore I fascia (ordinario);12 - Scienze giuridiche;1071
1998;M;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;858
1998;F;1PO;Professore I fascia (ordinario);13 - Scienze economiche e statistiche;90
1998;M;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;252
1998;F;1PO;Professore I fascia (ordinario);14 - Scienze politiche e sociali;29
1998;F;1PO;Professore I fascia (ordinario);99 - Non definito;1
1998;M;1PO;Professore I fascia (ordinario);99 - Non definito;5
1998;F;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;362
1998;M;2PA;Professore II fascia (associato);01 - Scienze matematiche e informatiche;565
1998;F;2PA;Professore II fascia (associato);02 - Scienze fisiche;141
1998;M;2PA;Professore II fascia (associato);02 - Scienze fisiche;804
1998;F;2PA;Professore II fascia (associato);03 - Scienze chimiche;278
1998;M;2PA;Professore II fascia (associato);03 - Scienze chimiche;829
1998;M;2PA;Professore II fascia (associato);04 - Scienze della terra;367
1998;F;2PA;Professore II fascia (associato);04 - Scienze della terra;82
1998;F;2PA;Professore II fascia (associato);05 - Scienze biologiche;609
1998;M;2PA;Professore II fascia (associato);05 - Scienze biologiche;789
1998;F;2PA;Professore II fascia (associato);06 - Scienze mediche;543
1998;M;2PA;Professore II fascia (associato);06 - Scienze mediche;2697
1998;F;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;161
1998;M;2PA;Professore II fascia (associato);07 - Scienze agrarie e veterinarie;562
1998;F;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;155
1998;M;2PA;Professore II fascia (associato);08 - Ingegneria civile e architettura;890
1998;F;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;93
1998;M;2PA;Professore II fascia (associato);09 - Ingegneria industriale e dell'informazione;1062
1998;F;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;799
1998;M;2PA;Professore II fascia (associato);10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;742
1998;F;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;392
1998;M;2PA;Professore II fascia (associato);11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;815
1998;F;2PA;Professore II fascia (associato);12 - Scienze giuridiche;173
1998;M;2PA;Professore II fascia (associato);12 - Scienze giuridiche;527
1998;F;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;189
1998;M;2PA;Professore II fascia (associato);13 - Scienze economiche e statistiche;614
1998;M;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;282
1998;F;2PA;Professore II fascia (associato);14 - Scienze politiche e sociali;96
1998;M;2PA;Professore II fascia (associato);99 - Non definito;1
1998;F;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;439
1998;M;3RU;Ricercatore a tempo indeterminato;01 - Scienze matematiche e informatiche;604
1998;F;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;185
1998;M;3RU;Ricercatore a tempo indeterminato;02 - Scienze fisiche;569
1998;M;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;587
1998;F;3RU;Ricercatore a tempo indeterminato;03 - Scienze chimiche;478
1998;M;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;285
1998;F;3RU;Ricercatore a tempo indeterminato;04 - Scienze della terra;151
1998;F;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;919
1998;M;3RU;Ricercatore a tempo indeterminato;05 - Scienze biologiche;663
1998;F;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;1120
1998;M;3RU;Ricercatore a tempo indeterminato;06 - Scienze mediche;2699
1998;F;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;395
1998;M;3RU;Ricercatore a tempo indeterminato;07 - Scienze agrarie e veterinarie;717
1998;F;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;343
1998;M;3RU;Ricercatore a tempo indeterminato;08 - Ingegneria civile e architettura;992
1998;M;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;1264
1998;F;3RU;Ricercatore a tempo indeterminato;09 - Ingegneria industriale e dell'informazione;186
1998;F;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;1487
1998;M;3RU;Ricercatore a tempo indeterminato;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;772
1998;F;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;936
1998;M;3RU;Ricercatore a tempo indeterminato;11 - Scienze storiche, filosofiche, pedagogiche e psicologiche;870
1998;F;3RU;Ricercatore a tempo indeterminato;12 - Scienze giuridiche;585
1998;M;3RU;Ricercatore a tempo indeterminato;12 - Scienze giuridiche;904
1998;F;3RU;Ricercatore a tempo indeterminato;13 - Scienze economiche e statistiche;502
1998;M;3RU;Ricercatore a tempo indeterminato;13 - Scienze economiche e statistiche;840
1998;F;3RU;Ricercatore a tempo indeterminato;14 - Scienze politiche e sociali;229
1998;M;3RU;Ricercatore a tempo indeterminato;14 - Scienze politiche e sociali;326
1998;F;3RU;Ricercatore a tempo indeterminato;99 - Non definito;26
1998;M;3RU;Ricercatore a tempo indeterminato;99 - Non definito;114
