ANNO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;N_PERS_DR
1997;F;1PO;Professore I fascia (ordinario);1525
1997;M;1PO;Professore I fascia (ordinario);11876
1997;F;2PA;Professore II fascia (associato);4073
1997;M;2PA;Professore II fascia (associato);11545
1997;F;3RU;Ricercatore a tempo indeterminato;7976
1997;M;3RU;Ricercatore a tempo indeterminato;12192
1998;F;1PO;Professore I fascia (ordinario);1525
1998;M;1PO;Professore I fascia (ordinario);11876
1998;F;2PA;Professore II fascia (associato);4073
1998;M;2PA;Professore II fascia (associato);11546
1998;F;3RU;Ricercatore a tempo indeterminato;7981
1998;M;3RU;Ricercatore a tempo indeterminato;12206
1999;F;1PO;Professore I fascia (ordinario);1497
1999;M;1PO;Professore I fascia (ordinario);11415
1999;F;2PA;Professore II fascia (associato);4752
1999;M;2PA;Professore II fascia (associato);13280
1999;F;3RU;Ricercatore a tempo indeterminato;8083
1999;M;3RU;Ricercatore a tempo indeterminato;11474
2000;F;1PO;Professore I fascia (ordinario);2002
2000;M;1PO;Professore I fascia (ordinario);13024
2000;F;2PA;Professore II fascia (associato);4781
2000;M;2PA;Professore II fascia (associato);12478
2000;F;3RU;Ricercatore a tempo indeterminato;8187
2000;M;3RU;Ricercatore a tempo indeterminato;11481
2000;F;4AR;Titolare di assegno di ricerca;2909
2000;M;4AR;Titolare di assegno di ricerca;2640
2001;F;1PO;Professore I fascia (ordinario);2468
2001;M;1PO;Professore I fascia (ordinario);14423
2001;F;2PA;Professore II fascia (associato);5324
2001;M;2PA;Professore II fascia (associato);12551
2001;F;3RU;Ricercatore a tempo indeterminato;8580
2001;M;3RU;Ricercatore a tempo indeterminato;11510
2001;F;4AR;Titolare di assegno di ricerca;3798
2001;M;4AR;Titolare di assegno di ricerca;3454
2002;F;1PO;Professore I fascia (ordinario);2831
2002;M;1PO;Professore I fascia (ordinario);15299
2002;F;2PA;Professore II fascia (associato);5690
2002;M;2PA;Professore II fascia (associato);12813
2002;F;3RU;Ricercatore a tempo indeterminato;9069
2002;M;3RU;Ricercatore a tempo indeterminato;11831
2002;F;4AR;Titolare di assegno di ricerca;4458
2002;M;4AR;Titolare di assegno di ricerca;3958
2003;F;1PO;Professore I fascia (ordinario);2862
2003;M;1PO;Professore I fascia (ordinario);15095
2003;F;2PA;Professore II fascia (associato);5638
2003;M;2PA;Professore II fascia (associato);12459
2003;F;3RU;Ricercatore a tempo indeterminato;8871
2003;M;3RU;Ricercatore a tempo indeterminato;11555
2003;F;4AR;Titolare di assegno di ricerca;5320
