ANNO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;TIPO_CONTR;AREA_FUNZ;N_PERS_ND
2002;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;22
2002;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;1848
2002;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;178
2002;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;677
2002;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;30
2002;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;697
2002;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;654
2002;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;68
2002;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;15950
2002;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2399
2002;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2859
2002;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;4595
2002;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;4570
2002;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;27
2002;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;80
2002;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;587
2002;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;51
2002;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;248
2002;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;17
2002;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;761
2002;M;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;407
2002;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;192
2002;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;7014
2002;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;1170
2002;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;4107
2002;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;3660
2002;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;10310
2002;M;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;07 - Area non individuata;17
2003;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;01 - Dirigenza amministrativa;44
2003;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;02 - Amministrativa ed Amministrativa-gestionale;2141
2003;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;03 - Biblioteche;229
2003;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;04 - Servizi generali e tecnici;529
2003;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;65
2003;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;06 - Tecnica, Tecnico-scientifica ed Elaborazione dati;752
2003;F;7TA;Personale tecnico-amministrativo;TD = Contratto a tempo determinato;07 - Area non individuata;1044
2003;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;01 - Dirigenza amministrativa;78
2003;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;02 - Amministrativa ed Amministrativa-gestionale;16291
2003;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;03 - Biblioteche;2412
2003;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;04 - Servizi generali e tecnici;2647
2003;F;7TA;Personale tecnico-amministrativo;TI = Contratto a tempo indeterminato;05 - Socio sanitaria, Medico-odontoiatrica e Socio sanitaria;4699
