FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,733.706,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,696.434,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,1365.257,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,1302.46,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,1405.032,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,1337.456,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,2152.681,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,2078.705,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,230.533,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,220.116,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,412.38,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,378.079,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,428.402,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,392.392,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,634.91,,
A,Annuale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,599.376,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,135.193,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,138.397,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,238.421,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,225.744,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,250.68,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,235.828,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,373.748,,
A,Annuale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,359.713,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,34.565,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,35.679,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,67.393,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,56.362,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,69.5,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,58.861,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,102.402,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,92.487,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,1.001,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,1.008,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,1.726,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,1.773,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,1.756,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,1.852,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,2.516,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,2.68,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,11.173,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,13.878,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,22.308,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,24.589,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,22.57,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,24.984,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,37.562,,
A,Annuale,ITC3,Liguria,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,40.31,,
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,88.455,,
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,87.832,,
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,146.994,,
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,143.019,,
A,Annuale,ITC4,Lombardia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,156.854,,
