codice_ente,data_inizio,data_fine,codice_fiscale,denominazione,codice_regione,codice_provincia,codice_comune,sottocomparto
029926223,2025-04-11,9999-12-31,90013480380,ISTITUTO DI ISTRUZIONE SUPERIORE F.LLI TADDIA,004,038,N.A.,ENTI_VOL_FIN_IS
029928460,2025-05-05,9999-12-31,90033390395,LICEO TORRICELLI - BALLARDINI,010,039,N.A.,ENTI_VOL_FIN_IS
029929063,2024-06-21,9999-12-31,90036190313,CENTRO PROVINCIALE ISTRUZIONE ADULTI 1 GORIZIA,012,031,N.A.,ENTI_VOL_FIN_IS
029930784,2023-07-28,9999-12-31,90049450373,CPIA 1 BOLOGNA - IMOLA,032,037,N.A.,ENTI_VOL_FIN_IS
029931362,2025-05-26,9999-12-31,90056090500,CENTRO PROVINCIALE ISTRUZIONE ADULTI 1 PISA,026,050,N.A.,ENTI_VOL_FIN_IS
029934605,2024-03-19,9999-12-31,90143380328,CENTRO PROVINCIALE PER L'ISTRUZIONE DEGLI ADULTI DI TRIESTE,006,032,N.A.,ENTI_VOL_FIN_IS
029936404,2022-12-14,9999-12-31,91016180142,ISTITUTO DI ISTRUNZIONE SUPERIORE P.L.NERVI - G.FERRARI,045,014,N.A.,ENTI_VOL_FIN_IS
029936405,2025-03-03,9999-12-31,91016190141,ISTITUTO COMPRENSIVO STATALE 2 DAMIANI,045,014,N.A.,ENTI_VOL_FIN_IS
029936406,2024-03-19,9999-12-31,91016200148,ISTITUTO PROFESSIONALE CROTTO CAURGA,018,014,N.A.,ENTI_VOL_FIN_IS
029936409,2024-06-21,9999-12-31,91016230145,CPIA 1 SONDRIO,045,014,N.A.,ENTI_VOL_FIN_IS
029939280,2025-12-05,9999-12-31,91042630342,ISTITUTO DI ISTRUZIONE SECONDARIA SUPERIORE BERENINI,014,034,N.A.,ENTI_VOL_FIN_IS
029939284,2025-10-31,9999-12-31,91042640341,ISTITUTO STATALE ISTRUZIONE SECONDARIA SUPERIORE MAGNAGHI - SOLARI,032,034,N.A.,ENTI_VOL_FIN_IS
029940091,2025-10-17,9999-12-31,91049570707,ISTITUTO DI ISTRUZIONE SUPERIORE G.BOCCARDI,078,070,N.A.,ENTI_VOL_FIN_IS
029940094,2024-06-21,9999-12-31,91049580706,ISTITUTO DI ISTRUZIONE SUPERIORE ALFANO DA TERMOLI,078,070,N.A.,ENTI_VOL_FIN_IS
029940097,2024-05-30,9999-12-31,91049590705,ISTITUTO ISTRUZIONE SUPERIORE E. MAJORANA,078,070,N.A.,ENTI_VOL_FIN_IS
029940101,2024-05-30,9999-12-31,91049610701,ISTITUTO OMNICOMPRENSIVO SAMMY BASSO,046,070,N.A.,ENTI_VOL_FIN_IS
029942588,2023-11-24,9999-12-31,91088940936,CENTRO PROVINCIALE ISTRUZIONE ADULTI CPIA 1 PORDENONE,033,093,N.A.,ENTI_VOL_FIN_IS
029942765,2024-11-25,9999-12-31,91109850338,CENTRO PROVINCIALE PER L'ISTRUZIONE DEGLI ADULTI 1 PIACENZA,032,033,N.A.,ENTI_VOL_FIN_IS
029943490,2025-01-01,9999-12-31,91129160684,ISTITUTO DI ISTRUZIONE SUPERIORE LUCA DA PENNE - MARIO DEI FIORI,027,068,N.A.,ENTI_VOL_FIN_IS
029943491,2024-06-01,9999-12-31,91129170683,"LICEO ARTISTICO MUSICALE E COREUTICO """" MISTICONI BELLISARIO",028,068,N.A.,ENTI_VOL_FIN_IS
029944836,2026-03-02,9999-12-31,91150430402,LICEO A. SERPIERI,014,099,N.A.,ENTI_VOL_FIN_IS
029945307,2023-11-01,9999-12-31,91168530359,ISTITUTO DI ISTRUZIONE SUPERIORE BLAISE PASCAL,033,035,N.A.,ENTI_VOL_FIN_IS
029945837,2025-12-05,9999-12-31,91370210378,ISTITUTO COMPRENSIVO N. 1 SAN LAZZARO DI SAVENA,054,037,N.A.,ENTI_VOL_FIN_IS
029945838,2024-04-22,9999-12-31,91370220377,ISTITUTO COMPRENSIVO N.2 SAN LAZZARO DI SAVENA,054,037,N.A.,ENTI_VOL_FIN_IS
029946927,2024-07-05,9999-12-31,92017090546,ISTITUTO COMPRENSIVO GUALDO TADINO - CASACASTALDA,023,054,N.A.,ENTI_VOL_FIN_IS
029949014,2026-03-02,9999-12-31,92038980881,ISTITUTO COMPRENSIVO PALAZZELLO - VANN'ANTO',009,088,N.A.,ENTI_VOL_FIN_IS
029950837,2024-06-01,9999-12-31,92058420461,CENTRO PROVINCIALE PER L'ISTRUZIONE DEGLI ADULTI DI LUCCA,017,046,N.A.,ENTI_VOL_FIN_IS
031395990,2026-03-02,9999-12-31,90053140373,ISTITUTO COMPRENSIVO N. 1 VIA SAN VITALE,032,037,N.A.,ENTI_VOL_FIN_IS
031397671,2026-02-18,9999-12-31,91046400080,ISTITUTO DI ISTRUZIONE SUPERIORE AMORETTI,031,008,N.A.,ENTI_VOL_FIN_IS
031400122,2026-03-17,9999-12-31,92059900446,ISTITUTO DI ISTRUZIONE SUPERIORE G. MAZZOCCHI - UMBERTO I,007,044,N.A.,ENTI_VOL_FIN_IS
031400832,2025-01-09,9999-12-31,92090920403,ISTITUTO DI ISTRUZIONE SUPERIORE BARACCA,012,040,N.A.,ENTI_VOL_FIN_IS
031401808,2026-03-17,9999-12-31,93028000144,ISTITUTO COMPRENSIVO GROSIO GROSOTTO SONDALO,033,014,N.A.,ENTI_VOL_FIN_IS
031403790,2026-04-10,9999-12-31,94032120787,POLO LICEALE DI CASTROVILLARI LICEO SCIENTIFICO E. MATTEI - LICEO CLASSICO G. GARIBALDI - LICEO ARTISTICO A. ALFANO - LICEO SCIENTIFICO NORMANNO,033,078,N.A.,ENTI_VOL_FIN_IS
031403933,2025-04-11,9999-12-31,94076690653,V ISTITUTO COMPRENSIVO NOCERA INFERIORE,078,065,N.A.,ENTI_VOL_FIN_IS
031403937,2025-03-03,9999-12-31,94076730657,IV ISTITUTO COMPRENSIVO STATALE ILARIA ALPI,078,065,N.A.,ENTI_VOL_FIN_IS
031404986,2026-01-19,9999-12-31,95026350041,ISTITUTO COMPRENSIVO ANDREA PAGLIERI,089,004,N.A.,ENTI_VOL_FIN_IS
031405816,2025-04-04,9999-12-31,95246010631,ISTITUTO COMPRENSIVO STATALE MADONNA ASSUNTA,049,063,N.A.,ENTI_VOL_FIN_IS
031405828,2024-02-01,9999-12-31,95246130637,POLO LICEALE SALVATORE DI GIACOMO,070,063,N.A.,ENTI_VOL_FIN_IS
029952178,2024-04-05,9999-12-31,92070230708,ISTITUTO COMPRENSIVO F. AMATUZIO - PALLOTTA,003,070,N.A.,ENTI_VOL_FIN_IS
029952181,2024-04-05,9999-12-31,92070240707,ISTITUTO COMPRENSIVO COLOZZA,006,070,N.A.,ENTI_VOL_FIN_IS
029952184,2024-06-21,9999-12-31,92070250706,ISTITUTO COMPRENSIVO STATALE I. PETRONE,006,070,N.A.,ENTI_VOL_FIN_IS
029952188,2024-06-16,9999-12-31,92070260705,ISTITUTO COMPRENSIVO D'OVIDIO,006,070,N.A.,ENTI_VOL_FIN_IS
029399424,2026-01-19,9999-12-31,94065920657,ISTITUTO COMPRENSIVO AD INDIRIZZO MUSICALE MONS. MARIO VASSALLUZZO,108,065,N.A.,ENTI_VOL_FIN_IS
029399476,2026-02-18,9999-12-31,95187100631,ISTITUTO COMPRENSIVO MASSIMO TROISI,067,063,N.A.,ENTI_VOL_FIN_IS
029400866,2024-03-19,9999-12-31,92044620638,ISTITUTO COMPRENSIVO STATALE 3 CESCHELLI,068,063,N.A.,ENTI_VOL_FIN_IS
029400882,2024-03-19,9999-12-31,92559800153,ISTITUTO COMPRENSIVO DI LODI II - GIOVANNI SPEZZAFERRI,031,098,N.A.,ENTI_VOL_FIN_IS
029400883,2024-10-21,9999-12-31,92559810152,ISTITUTO COMPRENSIVO CARLO COLLODI,050,098,N.A.,ENTI_VOL_FIN_IS
029400884,2025-03-24,9999-12-31,92559820151,ISTITUTO COMPRENSIVO LODI I,031,098,N.A.,ENTI_VOL_FIN_IS
