codice_ente,anno,mese,codice_gestionale,importo_centesimi
007544453,2026,04,1.03.02.05.001,22204
028835860,2026,04,1.03.02.17.002,35000
012520781,2026,04,2.02.01.03.001,39000
026053239,2026,01,1.03.01.02.007,152500
012530123,2026,02,1.10.03.01.001,111037
019171320,2026,03,2.02.01.07.004,0
007564343,2026,04,1.03.02.09.011,0
012541491,2026,03,1.03.01.02.001,0
007516619,2026,04,1.03.02.16.002,0
029970369,2026,01,1.03.02.07.006,101000
028841118,2026,02,1.03.01.02.006,210000
007511820,2026,01,1.01.02.01.001,31381
007513676,2026,04,1.03.02.07.008,45384
028838293,2026,03,0.00.00.99.999,0
007514538,2026,03,1.03.01.02.007,573777
030283251,2026,04,1.03.01.02.001,0
019015923,2026,03,0.00.00.99.999,0
028733571,2026,03,1.03.02.17.002,0
007548815,2026,03,1.10.04.01.003,0
000110953,2026,04,1.09.99.02.001,0
007508277,2026,04,1.03.01.02.011,0
011097115,2026,03,1.03.02.04.004,0
011100670,2026,04,1.03.02.16.999,0
007514986,2026,02,1.03.02.07.008,0
007520079,2026,02,1.03.01.02.001,0
007543747,2026,03,1.03.01.02.007,48950
009197659,2026,04,1.03.02.16.002,5730
019124643,2026,03,1.03.02.15.999,266200
035037480,2026,02,1.01.01.01.008,177455
007518453,2026,04,1.01.01.01.002,35022
000712216,2026,02,1.03.01.02.007,132500
007509427,2026,04,1.03.01.02.999,0
007544737,2026,04,1.03.02.10.001,0
018551731,2026,04,1.01.01.01.004,0
011100665,2026,04,1.03.02.09.011,0
019076301,2026,03,1.03.02.17.002,0
028840857,2026,02,0.00.00.99.999,0
012539391,2026,04,1.01.02.01.001,0
007559563,2026,04,1.02.01.01.001,0
018940824,2026,02,7.01.99.03.001,0
021655533,2026,03,2.02.01.99.002,0
007545183,2026,03,1.03.01.02.001,0
024261375,2026,04,1.01.01.01.002,0
019071388,2026,04,1.03.02.04.999,0
011097842,2026,04,1.03.02.16.002,0
021025716,2026,04,2.02.01.05.001,0
007527406,2026,04,1.03.02.11.002,0
012522919,2026,02,1.03.02.05.999,110000
