Year,Series,Subject,Region,Local authority,Sex,Ethnicity,Ethnic group,Special educational needs (SEN) status,Disadvantaged status,Free school meal status,First language,Unit measure,Observation status,GeoCode,Value
2021 to 2022,Attainment at age 16,English,,,,,,,,,,Percentage (%),Normal value,,76.4
2021 to 2022,Attainment at age 11,Maths,,,,,,,,,,Percentage (%),Normal value,,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,57.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,Asian,,,,,,Percentage (%),Normal value,E12000004,72.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,Black,,,,,,Percentage (%),Normal value,E12000004,64.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,Mixed,,,,,,Percentage (%),Normal value,E12000004,68.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,Unclassified,,,,,,Percentage (%),Normal value,E12000004,54.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,White,,,,,,Percentage (%),Normal value,E12000004,65.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,All SEN,,,,Percentage (%),Normal value,E12000004,23.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,No SEN,,,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,Disadvantaged,,,Percentage (%),Normal value,E12000004,51.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,Not known to be disadvantaged,,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,,FSM eligible,,Percentage (%),Normal value,E12000004,51.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,,Not known to be FSM eligible,,Percentage (%),Normal value,E12000004,73.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,,,First language unclassified,Percentage (%),Normal value,E12000004,27.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,,,Known or believed to be english,Percentage (%),Normal value,E12000004,69.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,,,Known or believed to be other than english,Percentage (%),Normal value,E12000004,59.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Female,,,,,,,Percentage (%),Normal value,E12000004,66.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,Other ethnic group,,,,,,Percentage (%),Normal value,E12000004,75.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,Asian,,,,,,Percentage (%),Normal value,E12000004,70.0
2021 to 2022,Attainment at age 11,Maths,East Midlands,Derby,Male,Black,,,,,,Percentage (%),Normal value,E12000004,74.0
