STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,EIDMT_SP,Evidence for strategic planning,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.17,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,EIDMT_IM,Evidence for infrastructure management,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.18,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,EIDMT,Evidence informed infrastructure decision making in the transport sector,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.63,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,EIDMT_PAIA,Use of data for project appraisal and impact analysis,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.23,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,EIDMT_PP,Use of evidence during the procurement process,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,EIDMT_SP,Evidence for strategic planning,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.25,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,EIDMT_PP,Use of evidence during the procurement process,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,EIDMT,Evidence informed infrastructure decision making in the transport sector,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.79,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,EIDMT_IM,Evidence for infrastructure management,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.23,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,EIDMT_PAIA,Use of data for project appraisal and impact analysis,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.21,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,EIDMT_SP,Evidence for strategic planning,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,EIDMT,Evidence informed infrastructure decision making in the transport sector,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.49,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_INFPD_2025(1.0),"Infrastructure planning and delivery indexes - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,EIDMT_IM,Evidence for infrastructure management,IX,Index,_Z,Not applicable,2025,2025,INFPD,Infrastructure planning and delivery,2022,,0.18,,A,Normal value,0,Units,_Z,Not applicable,,
