STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,AUS,Australia,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,13.79,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,12.52,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,12.3,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,12.74,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,10.21,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,14.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,12.6,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,13.04,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,14.26,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PPROC_2025(1.0),"Size of public procurement - government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,GPROC,Government procurement spending,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PPROC,Managing public procurement,2007,,14.89,,A,Normal value,0,Units,_Z,Not applicable,,
