STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,ACTIVITY,Economic activity,SECTOR,Institutional sector,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-01,,8.543072,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-02,,8.543072,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-03,,8.593325,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-04,,8.643578,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-05,,8.693831,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-06,,8.693831,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-07,,8.794338,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-08,,8.744084,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-09,,8.844591,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-10,,8.894845,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-11,,8.945098,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1955-12,,8.995352,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-01,,8.995352,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-02,,8.995352,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-03,,9.095859,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-04,,9.146111,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-05,,9.146111,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-06,,9.196365,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-07,,9.146111,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-08,,9.196365,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-09,,9.347125,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-10,,9.397379,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-11,,9.497885,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1956-12,,9.598392,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-01,,9.598392,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-02,,9.598392,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-03,,9.648645,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-04,,9.648645,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-05,,9.648645,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-06,,9.698898,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-07,,9.698898,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-08,,9.648645,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-09,,9.749152,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-10,,9.799405,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-11,,9.849659,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1957-12,,9.849659,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-01,,9.849659,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-02,,9.799405,,2015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_EAR@DF_HOU_EAR(1.0),Hourly earnings,I,USA,United States,EAR,Earnings,IX,Index,Y,Calendar and seasonally adjusted,C,Manufacturing,S1,Total economy,M,Monthly,1958-03,,9.849659,,2015,,A,Normal value,0,Units,2,Two
