DATAFLOW,REF_AREA,EDUCATION_LEV,MEASURE,EDUCATION_TYPE,INTENSITY,EDUCATION_FIELD,GRADE,FREQ,ORIGIN,DESTINATION,INST_TYPE_EDU,MOBILITY,UNIT_MEASURE,SEX,AGE,TIME_PERIOD,OBS_VALUE,REF_YEAR_AGES,ORIGIN_CRITERION,REPYEARSTART,REPYEAREND,OBS_STATUS,CONF_STATUS,COMMENT_OBS,DECIMALS,TIME_PER_COLLECT,UNIT_MULT
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),AUT,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),AUT,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_GOV,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),AUT,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_GOV,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),AUT,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),DEU,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_GOV,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),DEU,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),DEU,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),DEU,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_GOV,_Z,ST_CL,_T,_T,2023,,,,,,K,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),AUS,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),AUS,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),COL,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_GOV,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),COL,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_GOV,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),CZE,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),CZE,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),DNK,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),DNK,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),EST,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),EST,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),FIN,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),FIN,ISCED11_2,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_PERS@DF_UOE_NF_PERS_CLS(1.0),FRA,ISCED11_1,CLS,FE,_T,_Z,_Z,A,_Z,_Z,INST_EDU_PRIV_IND,_Z,ST_CL,_T,_T,2023,,,,,,M,,,2,,0
