region,dsu_ente,academic_year,k,entity_is_ersu_like,applications_total,eligible_students_total,beneficiaries_borse_total,beneficiaries_prestiti_total,beneficiaries_disability_support_total,spesa_borse_total,spesa_prestiti_total,spesa_mobilita_total,spesa_disability_support_total,spesa_alloggi_total,spesa_ristorazione_total,spesa_dsu_total,posti_alloggio_total,posti_alloggio_idonei,posti_alloggio_non_idonei,posti_mensa_total,pasti_erogati_total,studenti_mensa_total,grant_coverage_rate,grant_coverage_rate_capped,avg_borsa_support_eur,avg_mensa_spend_per_student_eur
Abruzzo,ADSU di Chieti,2024-2025 ,ABRUZZO||ADSU DI CHIETI,True,5680.0,3822.0,9161.0,0.0,41.0,31613035.250000004,0.0,19673.0,72146.56,0.0,0.0,31714974.810000002,163.0,128.0,1.0,0.0,324116.0,6874.0,1.6128521126760564,1,3450.8279936688136,0.0
Abruzzo,ADSU di L'Aquila,2024-2025 ,ABRUZZO||ADSU DI L'AQUILA,True,3565.0,2271.0,5690.0,0.0,12.0,16436508.319999998,0.0,796800.0,15057.91,0.0,0.0,17254366.229999997,218.0,215.0,0.0,0.0,187575.0,4865.0,1.5960729312762973,1,2888.665785588752,0.0
Abruzzo,ADSU di Teramo,2024-2025 ,ABRUZZO||ADSU DI TERAMO,True,1089.0,663.0,1464.0,0.0,3.0,3192286.54,0.0,6150.0,1500.0,553903.92,0.0,4035066.89,0.0,0.0,0.0,0.0,25402.0,0.0,1.3443526170798898,1,2180.5235928961747,0
Basilicata,ARDSU della Basilicata,2024-2025 ,BASILICATA||ARDSU DELLA BASILICATA,True,1619.0,1471.0,3250.0,0.0,0.0,5754418.53,0.0,21814.039999999997,0.0,1320.0,0.0,5840552.57,110.0,80.0,10.0,0.0,85736.0,3815.0,2.007411982705374,1,1770.590316923077,0.0
Calabria,Centro residenziale dell'Università degli studi della Calabria,2024-2025 ,CALABRIA||CENTRO RESIDENZIALE DELL'UNIVERSITÀ DEGLI STUDI DELLA CALABRIA,False,11825.0,8467.0,20240.0,0.0,0.0,61122223.64,0.0,189440.0,0.0,0.0,0.0,62849353.86,2376.0,1870.0,127.0,0.0,797155.0,17222.0,1.7116279069767442,1,3019.872709486166,0.0
Calabria,Fondazione UMG - Catanzaro,2024-2025 ,CALABRIA||FONDAZIONE UMG - CATANZARO,False,5701.0,4830.0,11435.0,0.0,44.0,28611306.98,0.0,0.0,210948.69,2724843.26,0.0,31674465.22,240.0,240.0,0.0,0.0,84195.0,5787.0,2.005788458165234,1,2502.081939658942,0.0
Calabria,Università Mediterranea di Reggio Calabria - Serv. Speciale DSU,2024-2025 ,CALABRIA||UNIVERSITÀ MEDITERRANEA DI REGGIO CALABRIA - SERV. SPECIALE DSU,False,2085.0,1805.0,4230.0,0.0,0.0,11030315.270000001,0.0,0.0,0.0,0.0,0.0,11110543.99,104.0,98.0,0.0,0.0,3920.0,146.0,2.028776978417266,1,2607.639543735225,0.0
Calabria,"Università per stranieri ""Dante Alighieri"" di Reggio Calabria - DSU",2024-2025 ,"CALABRIA||UNIVERSITÀ PER STRANIERI ""DANTE ALIGHIERI"" DI REGGIO CALABRIA - DSU",False,110.0,88.0,153.0,0.0,0.0,360794.1,0.0,0.0,0.0,0.0,0.0,360794.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3909090909090909,1,2358.1313725490195,0
Campania,ADISURC Campania,2024-2025 ,CAMPANIA||ADISURC CAMPANIA,True,72442.0,49111.0,119130.0,0.0,0.0,206333168.58881,0.0,0.0,0.0,0.0,0.0,206601334.42881,906.0,320.0,172.0,0.0,1365982.0,15352.0,1.6444880041964607,1,1732.0000720961134,0.0
Emilia-Romagna,ER.GO - Emilia Romagna,2024-2025 ,EMILIA-ROMAGNA||ER.GO - EMILIA ROMAGNA,True,42102.0,29554.0,67495.0,0.0,328.0,162063729.75,0.0,34898.0,497104.19999999995,0.0,0.0,166409231.75,4061.0,3639.0,422.0,0.0,1565045.0,0.0,1.6031304926131775,1,2401.1220053337283,0
Friuli-Venezia Giulia,ARDIS Friuli Venezia Giulia,2024-2025 ,FRIULI-VENEZIA GIULIA||ARDIS FRIULI VENEZIA GIULIA,True,11744.0,7525.0,17873.0,0.0,0.0,44867089.0,0.0,19536.0,0.0,271200.0,0.0,45353519.0,1252.0,1001.0,145.0,0.0,743702.0,12287.0,1.521883514986376,1,2510.327812902143,0.0
Lazio,LAZIODISCO,2024-2025 ,LAZIO||LAZIODISCO,False,72082.0,40287.0,90022.0,0.0,0.0,194596913.17,0.0,549270.0,0.0,17429573.6,0.0,215843117.85999998,3159.0,3157.0,2.0,0.0,1073203.0,50816.0,1.2488832163369497,1,2161.659518451045,0.0
Liguria,ALISEO LIGURIA,2024-2025 ,LIGURIA||ALISEO LIGURIA,False,6733.0,6135.0,13510.0,0.0,45.0,16904414.11,0.0,104950.0,26517.75,1445553.16,0.0,18685415.52,995.0,690.0,225.0,0.0,261732.0,5740.0,2.0065349769790584,1,1251.2519696521094,0.0
Lombardia,CEDISU  - Università degli studi di Brescia,2024-2025 ,LOMBARDIA||CEDISU  - UNIVERSITÀ DEGLI STUDI DI BRESCIA,True,2920.0,1674.0,3644.0,0.0,0.0,5942493.35,0.0,0.0,0.0,0.0,0.0,5942493.35,468.0,182.0,200.0,0.0,54361.0,2190.0,1.247945205479452,1,1630.7610729967068,0.0
Lombardia,EDiSU di Pavia,2024-2025 ,LOMBARDIA||EDISU DI PAVIA,True,6836.0,3874.0,7594.0,0.0,23.0,17926913.38,0.0,14167.5,46373.92,0.0,0.0,20155943.5,1654.0,690.0,759.0,0.0,322069.0,6200.0,1.1108835576360445,1,2360.6680774295496,0.0
Lombardia,Fondazione EDUCatt di Milano,2024-2025 ,LOMBARDIA||FONDAZIONE EDUCATT DI MILANO,False,4880.0,3472.0,7559.0,0.0,48.0,13726292.540000001,0.0,83869.6,98010.4,0.0,0.0,14558956.790000001,1395.0,363.0,931.0,0.0,1000961.0,25454.0,1.5489754098360655,1,1815.887358116153,0.0
