source_group,source_file,direction,coverage,latest_year,metric,value,unit,note
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,entries+expenditures,school-level,2025,importo_accertato_impegnato,4126142.3200000003,eur,Committed/assessed amount
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,entries+expenditures,school-level,2025,importo_da_riscuotere_da_pagare,1072297.83,eur,Receivable / payable amount
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,entries+expenditures,school-level,2025,importo_riscosso_pagato,3053844.4899999998,eur,Collected/paid amount
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,entries+expenditures,school-level,2025,rows,1067.0,count,Raw school finance/procurement rows
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,entries,school-level,2025,total_entries,6069629.99,eur,Final-account entries
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,expenditure,school-level,2025,total_expenditures,5418018.45,eur,Final-account expenditures
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,entries+expenditures,school-level,2025,unique_regions,5.0,count,Unique regions in the file
MUR school finance and procurement,BISCONSUNTIVO202520251220.csv,entries+expenditures,school-level,2025,unique_schools,11.0,count,Unique school codes in the file
MUR school finance and procurement,BISCONTRATTI202420250921.csv,contracts,school-level,2024,rows,673976.0,count,Raw school finance/procurement rows
MUR school finance and procurement,BISCONTRATTI202420250921.csv,contracts,school-level,2024,total_awarded_importo,4304585310.33,eur,Awarded amount
MUR school finance and procurement,BISCONTRATTI202420250921.csv,contracts,school-level,2024,total_gara_importo,37192185384.97001,eur,Tendered amount
MUR school finance and procurement,BISCONTRATTI202420250921.csv,contracts,school-level,2024,unique_regions,18.0,count,Unique regions in the file
MUR school finance and procurement,BISCONTRATTI202420250921.csv,contracts,school-level,2024,unique_schools,7462.0,count,Unique school codes in the file
MUR school finance and procurement,BISPROGANNO202520260320.csv,entries+expenditures,school-level,2025,rows,775670.0,count,Raw school finance/procurement rows
MUR school finance and procurement,BISPROGANNO202520260320.csv,entries,school-level,2025,total_entries,5328723542.64,eur,Planned budget entries
MUR school finance and procurement,BISPROGANNO202520260320.csv,expenditure,school-level,2025,total_expenditures,5335387729.39,eur,Planned budget expenditures
MUR school finance and procurement,BISPROGANNO202520260320.csv,entries+expenditures,school-level,2025,unique_regions,18.0,count,Unique regions in the file
MUR school finance and procurement,BISPROGANNO202520260320.csv,entries+expenditures,school-level,2025,unique_schools,7347.0,count,Unique school codes in the file
MUR tuition and cost sharing,italy_mur_tuition_benchmark_2024.csv,household cost,Totale Italia,2023-2024,avg_tuition_all_students_eur,1494.61,eur,MUR 2024 contribuzione e interventi atenei
