Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 28,Unnamed: 29
Standard intended time,,,,,,,,,,,,,,,,,,,,,,,,,Eurydice-OECD Joint Instruction Time Data Collection 2024,,
General information on the education system ,,,,,,,,,DE,,,,,,,,,,,,,,,,,,
,Country:,,,,,,,,Germany,,,,,,,,,,,,,,,,,,
,Reference year:,,,,,,,,2023/24,,Total years of compulsory primary and secondary education,,,,,,,,,,,,,,,,
,Number of years compulsory primary education (ISCED 1):,,,,,,,,4,,0,,,,,,,,,,,,,,,,
,Number of years compulsory lower secondary education (ISCED 24):,,,,,,,,5,,,,10,,,,,,,,,,,,,,
,Number of years compulsory upper secondary education (ISCED 34):,,,,,,,,1,,,,,,,,,,,,,,,,,,
,Theoretical age of admission in Compulsory Primary Education:,,,,,,,,6,,,,,,,,,,,,,,,,,,
,Information given by (Week or Year):,,,,,,,,YEAR,,,,,,,,,,,,,,,,,,
,Pathway / Track / Branch:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Information given in (Periods OR hours of 60 min),,,,,,,,Periods,,,,,,,,,,,,,,,,,,
Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grade,ISCED level,"Number of instruction days 
per school year","Number of instruction days 
per school week","Length of a period / 
lesson in minutes","Reading, writing and literature (L1)",Mathematics,Natural sciences,Social sciences,Language 2 (*),Language 3 (*),Language 4 (*),Language 5 (*),Physical Education and Health,Arts Education,Religion/Ethics/Moral education,ICT,Technology,Practical and vocational skills,Other subjects,Compulsory subjects with flexible timetable,Compulsory options chosen by the students,Compulsory flexible subjects chosen by schools,Total compulsory curriculum,Non-compulsory curriculum,Number of Weeks,Ration period/60 minutes
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
A1,1,ISCED 1,188,5,45,202.32994328010435,152.7500284086382,20.619865782684982,37.602908871037705,10.148260806302872,a,a,a,75.35197742358704,84.05263368172056,38.396473150340036,0,12.345367010568474,0.3792646155317081,31.228618166301636,a,12.838885343833933,a,678.0442265406515,a,37.6,0.75
A2,2,ISCED 1,188,5,45,205.61312487517299,152.9328974046678,20.59628396186713,37.93596305833345,9.829077340972834,a,a,a,80.0491889898997,84.84901699609114,40.39328709680871,0,18.246838666419393,0.36096123942536773,25.476815956816985,a,8.25614724060944,a,684.5396028270851,a,37.6,0.75
A3,3,ISCED 1,188,5,45,191.42428679587562,146.0339271484953,30.495043689538726,51.71222735501475,51.758365309248234,a,a,a,83.02613595049533,104.13274117982182,46.68399780924503,0.11836980843543742,18.55254705531797,0.36057264723410154,25.30888404553172,a,8.888821452532392,a,758.4959202467865,a,37.6,0.75
A4,4,ISCED 1,188,5,45,192.77198934370443,151.56945759844433,32.91781390179873,56.377658648517254,53.788870430280234,a,a,a,80.90862201263977,108.50319045211472,46.61543297034516,0.11652828390860474,18.288583397180354,0.35496308021390377,29.38294191541079,a,7.98896260573651,a,779.5850146402948,a,37.6,0.75
A5,5,ISCED 24,188,5,45,134.52653518348558,125.45798535580413,83.22771545041392,89.54975579270885,128.6066005738909,2.168954795620872,xc:21,xc:21,88.28936037090114,105.90646814907856,44.138820452165234,12.388151060570003,16.206211041073118,3.13038660253081,20.086893417652817,a,9.301397743499733,a,862.9852359893955,a,37.6,0.75
A6,6,ISCED 24,188,5,45,131.09743948768056,125.5915466478576,85.40893655919896,92.72367250434755,122.00788749373402,28.963569293585937,xc:21,xc:21,85.45383014664479,100.70184748226902,44.219905838894185,14.855067184803682,16.223361803351285,3.267864680734331,18.754148588577895,a,8.58843103853644,a,877.8575087502162,a,37.6,0.75
A7,7,ISCED 24,188,5,45,114.91265394892125,112.89238910012674,101.06205845205497,116.78808933114738,105.32465059271723,52.380148808083426,xc:21,xc:21,75.88938799457512,71.262349314036,43.619387839107006,9.263906350649822,29.50749716937682,10.409209496686543,28.220462186903138,a,18.58896934327844,a,890.1211599276639,a,37.6,0.75
A8,8,ISCED 24,188,5,45,113.86817610468188,109.53704404241773,117.95998455339999,116.37810254942984,96.95549857459625,48.90154215246726,xc:21,xc:21,70.32267684699019,66.00225322723426,43.21102110363158,7.93673569846201,27.73098837927292,13.63764020153656,30.034387849901176,a,30.722957033394074,a,893.1990083174159,a,37.6,0.75
A9,9,ISCED 24,188,5,45,110.28446884406006,111.97514521022973,123.58717217661535,118.5511539459001,93.12033597570125,49.350220212144315,xc:21,xc:21,69.8411056501917,63.53337208605788,41.70435892825681,9.184330909253923,29.461561739034487,16.220901226808934,33.54389902157699,a,37.7784861255234,a,908.1365120513549,a,37.6,0.75
A10,10,ISCED 34,188,5,45,108.86699045122778,110.2188227607401,131.5081673010597,126.92427753311608,96.42354920874195,51.63836653646297,xc:21,xc:21,69.64773998159751,62.08715397994992,41.90813856017243,7.82653510401377,20.747483003362113,12.441052128224,30.252067563422862,a,37.628604819699426,a,908.1189489317906,a,37.6,0.75
A11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,12,,,,,,,,,,,,,,,,,,,,,,,,,,
A13,13,,,,,,,,,,,,,,,,,,,,,,,,,,
,(*) as a compulsory subject,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,Minimum Instruction Time: Sub-total Compulsory I,8241.083138222655,,,
A14,4,Primary (ISCED 1),,,,792.1393442948574,603.2863105602457,104.62900733588955,183.62875793290317,125.52457388680418,,,,319.33592437662185,381.53758230974825,172.08919102673894,0.23489809234404216,67.43333612948618,1.455761582405081,111.39726008406112,,37.972816642712274,,2900.6647642548182,,37.6,0.75
A15,5,Compulsory lower secondary (ISCED 24),,,,604.6892735688293,585.4541103564359,511.24586719168315,533.9907741235337,546.0149732106396,181.7644352619018,,,389.7963610093029,407.40629025867565,216.89349416205482,53.62819120373943,119.12962013210861,46.66600220829717,130.639791064612,,104.9802412842321,,4432.299425036046,,37.6,0.75
A16,1,Compulsory upper secondary (ISCED 34),,,,108.86699045122778,110.2188227607401,131.5081673010597,126.92427753311608,96.42354920874195,51.63836653646297,,,69.64773998159751,62.08715397994992,41.90813856017243,7.82653510401377,20.747483003362113,12.441052128224,30.252067563422862,,37.628604819699426,,908.1189489317906,,37.6,0.75
Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,,,,,,,, ,,,,,
,Group of,,Dura-,from,to,,,,,,,,,,,,,,,,,,,Total,,,
,grades,,tion,grade,grade,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,False,
F1,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F2,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F3,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F4,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F5,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F6,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F7,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F8,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F9,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F10,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F11,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F12,0,,,0,0,,,,,,,,,,,,,,,,,,,0,,,
,Number of years,Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,Vertical Flexibility: Sub-total Compulsory II,0,,,
F13,4,Primary (ISCED 1),,,,,,,,,,,,,,,,,,,,,,0,,,
F14,5,Compulsory lower secondary (ISCED 24),,,,,,,,,,,,,,,,,,,,,,0,,,
F15,1,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,,,,0,,,
Total Instruction time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Total Instruction time,,,,,,,,,,,,,,,,,,,,,Instruction Time: Total Compulsory,8241.083138222655,,,
