Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 28,Unnamed: 29
Standard intended time,,,,,,,,,,,,,,,,,,,,,,,,,Eurydice-OECD Joint Instruction Time Data Collection 2024,,
General information on the education system ,,,,,,,,,LU Class,,,,,,,,,,,,,,,,,,
,Country:,,,,,,,,Luxembourg,,,,,,,,,,,,,,,,,,
,Reference year:,,,,,,,,2024/25,,Total years of compulsory primary and secondary education,,,,,,,,,,,,,,,,
,Number of years compulsory primary education (ISCED 1):,,,,,,,,6,,0,,,,,,,,,,,,,,,,
,Number of years compulsory lower secondary education (ISCED 24):,,,,,,,,3,,,,10,,,,,,,,,,,,,,
,Number of years compulsory upper secondary education (ISCED 34):,,,,,,,,1,,,,,,,,,,,,,,,,,,
,Theoretical age of admission in Compulsory Primary Education:,,,,,,,,6,,,,,,,,,,,,,,,,,,
,Information given by (Week or Year):,,,,,,,,WEEK,,,,,,,,,,,,,,,,,,
,Pathway / Track / Branch:,,,,,,,,Classical secondary education (enseignement secondaire classique),,,,,,,,,,,,,,,,,,
,Information given in (Periods OR hours of 60 min),,,,,,,,Periods,,,,,,,,,,,,,,,,,,
Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grade,ISCED level,"Number of instruction days 
per school year","Number of instruction days 
per school week","Length of a period / 
lesson in minutes","Reading, writing and literature (L1)",Mathematics,Natural sciences,Social sciences,Language 2 (*),Language 3 (*),Language 4 (*),Language 5 (*),Physical Education and Health,Arts Education,Religion/Ethics/Moral education,ICT,Technology,Practical and vocational skills,Other subjects,Compulsory subjects with flexible timetable,Compulsory options chosen by the students,Compulsory flexible subjects chosen by schools,Total compulsory curriculum,Non-compulsory curriculum,Number of Weeks,Ration period/60 minutes
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
A1,1,ISCED 1,180,5,55,363,198,99,xc:15,a,a,a,a,99,99,66,a,a,a,a,a,a,a,924,a,36,0.9166666666666666
A2,2,ISCED 1,180,5,55,313.5,198,99,xc:15,49.5,a,a,a,99,99,66,a,a,a,a,a,a,a,924,a,36,0.9166666666666666
A3,3,ISCED 1,180,5,55,231,165,66,xc:15,198,a,a,a,99,99,66,a,a,a,a,a,a,a,924,a,36,0.9166666666666666
A4,4,ISCED 1,180,5,55,231,165,66,xc:15,198,a,a,a,99,99,66,a,a,a,a,a,a,a,924,a,36,0.9166666666666666
A5,5,ISCED 1,180,5,55,231,165,33,66,198,a,a,a,66,99,66,a,a,a,a,a,a,a,924,a,36,0.9166666666666666
A6,6,ISCED 1,180,5,55,231,165,33,66,198,a,a,a,66,99,66,a,a,a,a,a,a,a,924,a,36,0.9166666666666666
A7,7,ISCED 24,169,5,50,112.66666666666666,112.66666666666666,70.41666666666667,112.66666666666666,154.91666666666666,a,a,a,84.5,112.66666666666666,56.33333333333333,28.166666666666664,a,a,a,a,a,a,844.9999999999999,a,33.8,0.8333333333333334
A8,8,ISCED 24,169,5,50,98.58333333333333,112.66666666666666,70.41666666666667,84.5,140.83333333333334,a,a,a,56.33333333333333,42.25,56.33333333333333,28.166666666666664,a,a,a,a,154.91666666666666,a,845,a,33.8,0.8333333333333334
A9,9,ISCED 24,169,5,50,84.5,112.66666666666666,56.33333333333333,84.5,112.66666666666666,112.66666666666666,a,a,56.33333333333333,28.166666666666664,56.33333333333333,28.166666666666664,a,a,a,a,112.66666666666666,a,844.9999999999999,a,33.8,0.8333333333333334
A10,10,ISCED 34,169,5,50,126.75,112.66666666666666,112.66666666666666,112.66666666666666,70.41666666666667,112.66666666666666,a,a,56.33333333333333,28.166666666666664,28.166666666666664,a,a,a,a,a,84.5,a,844.9999999999999,a,33.8,0.8333333333333334
A11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,12,,,,,,,,,,,,,,,,,,,,,,,,,,
A13,13,,,,,,,,,,,,,,,,,,,,,,,,,,
,(*) as a compulsory subject,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,Minimum Instruction Time: Sub-total Compulsory I,8924,,,
A14,6,Primary (ISCED 1),,,,1600.5,1056,396,132,841.5,,,,528,594,396,,,,,,,,5544,,36,0.9166666666666666
A15,3,Compulsory lower secondary (ISCED 24),,,,295.75,338,197.16666666666669,281.66666666666663,408.41666666666663,112.66666666666666,,,197.16666666666663,183.08333333333331,169,84.5,,,,,267.5833333333333,,2535,,33.8,0.8333333333333334
A16,1,Compulsory upper secondary (ISCED 34),,,,126.75,112.66666666666666,112.66666666666666,112.66666666666666,70.41666666666667,112.66666666666666,,,56.33333333333333,28.166666666666664,28.166666666666664,0,,,,,84.5,,844.9999999999999,,33.8,0.8333333333333334
Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,,, ,,,,
