Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 28,Unnamed: 29
Standard intended time,,,,,,,,,,,,,,,,,,,,,,,,,Eurydice-OECD Joint Instruction Time Data Collection 2024,,
General information on the education system ,,,,,,,,,NL VWO,,,,,,,,,,,,,,,,,,
,Country:,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,,
,Reference year:,,,,,,,,2024/25,,Total years of compulsory primary and secondary education,,,,,,,,,,,,,,,,
,Number of years compulsory primary education (ISCED 1):,,,,,,,,6,,0,,,,,,,,,,,,,,,,
,Number of years compulsory lower secondary education (ISCED 24):,,,,,,,,3,,,,12,,,,,,,,,,,,,,
,Number of years compulsory upper secondary education (ISCED 34):,,,,,,,,3,,,,,,,,,,,,,,,,,,
,Theoretical age of admission in Compulsory Primary Education:,,,,,,,,6,,,,,,,,,,,,,,,,,,
,Information given by (Week or Year):,,,,,,,,YEAR,,,,,,,,,,,,,,,,,,
,Pathway / Track / Branch:,,,,,,,,basisschool + VWO,,,,,,,,,,,,,,,,,,
,Information given in (Periods OR hours of 60 min),,,,,,,,Hours (60min),,,,,,,,,,,,,,,,,,
Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grade,ISCED level,"Number of instruction days 
per school year","Number of instruction days 
per school week","Length of a period / 
lesson in minutes","Reading, writing and literature (L1)",Mathematics,Natural sciences,Social sciences,Language 2 (*),Language 3 (*),Language 4 (*),Language 5 (*),Physical Education and Health,Arts Education,Religion/Ethics/Moral education,ICT,Technology,Practical and vocational skills,Other subjects,Compulsory subjects with flexible timetable,Compulsory options chosen by the students,Compulsory flexible subjects chosen by schools,Total compulsory curriculum,Non-compulsory curriculum,Number of Weeks,Ration period/60 minutes
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
A1,1,ISCED 1,195,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F1,a,a,,a,39,1
A2,2,ISCED 1,195,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F1,a,a,,a,39,1
A3,3,ISCED 1,195,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F1,a,a,,a,39,1
A4,4,ISCED 1,195,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F1,a,a,,a,39,1
A5,5,ISCED 1,195,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F1,a,a,,a,39,1
A6,6,ISCED 1,195,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F1,a,a,,a,39,1
A7,7,ISCED 24,m,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F2,a,a,,a,,1
A8,8,ISCED 24,m,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F2,a,a,,a,,1
A9,9,ISCED 24,m,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F2,a,a,,a,,1
A10,10,ISCED 34,m,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F2,a,a,,a,,1
A11,11,ISCED 34,m,5,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xr:F2,a,a,,a,,1
A12,12,ISCED 34,m,m,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,700,a,a,700,a,,1
A13,13,-,,,,,,,,,,,,,,,,,,,,,,,,,1
,(*) as a compulsory subject,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,Minimum Instruction Time: Sub-total Compulsory I,700,,,
A14,6,Primary (ISCED 1),,,,,,,,,,,,,,,,,,,,,,,,39,1
A14,3,Compulsory lower secondary (ISCED 24),,,,,,,,,,,,,,,,,,,,,,,,,1
A15,3,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,700,,,700,,,1
Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,,,,,,,, ,,,,,
,Group of,,Dura-,from,to,,,,,,,,,,,,,,,,,,,Total,,,
,grades,,tion,grade,grade,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,False,
F1,1-6 (ISCED 1),,6,1,6,xc:20,xc:20,xc:20,xc:20,xc:20,a,a,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,5640,a,a,5640,a,39,1
F2,7-11 (ISCED 24-34),,5,7,11,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,xc:20,xc:20,xc:20,xc:20,xc:20,xc:20,a,5000,a,a,5000,a,39,1
F3,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F4,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F5,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F6,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F7,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F8,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F9,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F10,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F11,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F12,0,,,0,0,,,,,,,,,,,,,,,,,,,0,,,
,Number of years,Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,Vertical Flexibility: Sub-total Compulsory II,10640,,,
F13,6,Primary (ISCED 1),,,,,,,,,,,,,,,,,,,5640,,,5640,,39,1
F14,3,Compulsory lower secondary (ISCED 24),,,,,,,,,,,,,,,,,,,3000,,,3000,,,1
F15,3,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,2000,,,2000,,,1
Total Instruction time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Total Instruction time,,,,,,,,,,,,,,,,,,,,,Instruction Time: Total Compulsory,11340,,,
T1,6,Primary (ISCED 1),,,,,,,,,,,,,,,,,,,5640,,,5640,,78,2
T2,3,Compulsory lower secondary (ISCED 24),,,,,,,,,,,,,,,,,,,3000,,,3000,,,2
T3,3,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,2700,,,2700,,,2
Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in primary education (ISCED 1),,,,,,,,,,,1,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in lower secondary education (ISCED 24),,,,,,,,,,,0.23,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in upper secondary education (ISCED 34),,,,,,,,,,,0.51,,,,,,,,,,,,,,,
