Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 28,Unnamed: 29
Standard intended time,,,,,,,,,,,,,,,,,,,,,,,,,Eurydice-OECD Joint Instruction Time Data Collection 2024,,
General information on the education system ,,,,,,,,,SI,,,,,,,,,,,,,,,,,,
,Country:,,,,,,,,Slovenia,,,,,,,,,,,,,,,,,,
,Reference year:,,,,,,,,2024/25,,Total years of compulsory primary and secondary education,,,,,,,,,,,,,,,,
,Number of years compulsory primary education (ISCED 1):,,,,,,,,6,,0,,,,,,,,,,,,,,,,
,Number of years compulsory lower secondary education (ISCED 24):,,,,,,,,3,,,,9,,,,,,,,,,,,,,
,Number of years compulsory upper secondary education (ISCED 34):,,,,,,,,0,,,,,,,,,,,,,,,,,,
,Theoretical age of admission in Compulsory Primary Education:,,,,,,,,6,,,,,,,,,,,,,,,,,,
,Information given by (Week or Year):,,,,,,,,YEAR,,,,,,,,,,,,,,,,,,
,Pathway / Track / Branch:,,,,,,,,,,,,,,,,,,,,,,,,,,
,Information given in (Periods OR hours of 60 min),,,,,,,,Hours (60min),,,,,,,,,,,,,,,,,,
Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grade,ISCED level,"Number of instruction days 
per school year","Number of instruction days 
per school week","Length of a period / 
lesson in minutes","Reading, writing and literature (L1)",Mathematics,Natural sciences,Social sciences,Language 2 (*),Language 3 (*),Language 4 (*),Language 5 (*),Physical Education and Health,Arts Education,Religion/Ethics/Moral education,ICT,Technology,Practical and vocational skills,Other subjects,Compulsory subjects with flexible timetable,Compulsory options chosen by the students,Compulsory flexible subjects chosen by schools,Total compulsory curriculum,Non-compulsory curriculum,Number of Weeks,Ration period/60 minutes
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
A1,1,ISCED 1,190,5,45,157.5,105,44.06,32.8,52.5,a,a,a,97.5,120,xc:8,xc:23,24.38,a,a,a,a,a,633.74,157.5,38,1
A2,2,ISCED 1,190,5,45,183.75,105,44.06,32.8,52.5,a,a,a,97.5,120,xc:8,xc:23,24.38,a,a,a,a,a,659.99,105,38,1
A3,3,ISCED 1,190,5,45,183.75,131.25,44.06,32.8,52.5,a,a,a,97.5,120,xc:8,xc:23,24.38,a,a,a,a,a,686.24,105,38,1
A4,4,ISCED 1,190,5,45,131.25,131.25,63.75,52.5,52.5,a,a,a,97.5,103.13,xc:8,xc:23,41.25,a,13.13,a,a,a,686.26,157.5,38,1
A5,5,ISCED 1,190,5,45,131.25,105,63.75,78.75,78.75,a,a,a,97.5,103.13,xc:8,xc:23,41.25,26.25,13.13,a,a,a,738.76,157.5,38,1
A6,6,ISCED 1,190,5,45,131.25,105,63.75,52.5,105,a,a,a,97.5,63.75,xc:8,xc:23,67.5,39.38,13.13,a,a,a,738.76,157.5,38,1
A7,7,ISCED 24,190,5,45,105,105,90,131.25,105,xc:21,a,a,71.25,63.75,xc:8,xc:23,41.25,a,13.13,a,52.5,a,778.13,183.75,38,1
A8,8,ISCED 24,190,5,45,91.875,105,155.63,118.13,78.75,xc:21,a,a,71.25,63.75,xc:8,xc:23,41.25,a,13.13,a,52.5,a,791.265,183.75,38,1
A9,9,ISCED 24,175,5,45,108,96,155.25,96,72,xc:21,a,a,66.75,59.25,xc:8,xc:23,15,a,12,a,48,a,728.25,168,35,1
A10,10,,,,,,,,,,,,,,,,,,,,,,,,,,1
A11,11,,,,,,,,,,,,,,,,,,,,,,,,,,1
A12,12,,,,,,,,,,,,,,,,,,,,,,,,,,1
A13,13,,,,,,,,,,,,,,,,,,,,,,,,,,1
,(*) as a compulsory subject,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Distribution of Minimum Instruction Time and Horizontal Flexibility,,,,,,,,,,,,,,,,,,,,,Minimum Instruction Time: Sub-total Compulsory I,6441.395,,,
A14,6,Primary (ISCED 1),,,,918.75,682.5,323.43,282.15,393.75,,,,585,630.01,,,223.14,65.63,39.39,,,,4143.75,840,38,1
A15,3,Compulsory lower secondary (ISCED 24),,,,304.875,306,400.88,345.38,255.75,,,,209.25,186.75,,,97.5,,38.260000000000005,,153,,2297.645,535.5,38,1
A16,0,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,,,,,,35,1
Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,,,,,,,, ,,,,,
,Group of,,Dura-,from,to,,,,,,,,,,,,,,,,,,,Total,,,
,grades,,tion,grade,grade,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,False,
F1,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F2,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F3,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F4,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F5,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F6,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F7,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F8,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F9,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F10,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F11,0,,1,0,0,,,,,,,,,,,,,,,,,,,0,,,
F12,0,,,0,0,,,,,,,,,,,,,,,,,,,0,,,
,Number of years,Distribution of the instruction time in the case of Vertical Flexibility,,,,,,,,,,,,,,,,,,,,,Vertical Flexibility: Sub-total Compulsory II,0,,,
F13,6,Primary (ISCED 1),,,,,,,,,,,,,,,,,,,,,,0,,,
F14,3,Compulsory lower secondary (ISCED 24),,,,,,,,,,,,,,,,,,,,,,0,,,
F15,0,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,,,,0,,,
Total Instruction time,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of years,Total Instruction time,,,,,,,,,,,,,,,,,,,,,Instruction Time: Total Compulsory,6441.395,,,
T1,6,Primary (ISCED 1),,,,918.75,682.5,323.43,282.15,393.75,,,,585,630.01,,,223.14,65.63,39.39,,,,4143.75,840,,
T2,3,Compulsory lower secondary (ISCED 24),,,,304.875,306,400.88,345.38,255.75,,,,209.25,186.75,,,97.5,,38.260000000000005,,153,,2297.645,535.5,,
T3,0,Compulsory upper secondary (ISCED 34),,,,,,,,,,,,,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in primary education (ISCED 1),,,,,,,,,,,0.949,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in lower secondary education (ISCED 24),,,,,,,,,,,0.949,,,,,,,,,,,,,,,
,Percentage of students following the reported curriculum in upper secondary education (ISCED 34),,,,,,,,,,,a,,,,,,,,,,,,,,,
