Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,:,not available
Source: ,Eurydice,,,,,,-,not applicable
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/school-year-eu-time-holidays,,,,,,<-,Includes compulsory IT dedicated to other subjects
Copyright: ,"European Commission, 2026",,,,,,->,IT partly integrated in that of another subject
Last update: ,2026-01-06 00:00:00,,,,,,,
UnitCode,TrackCode,RefYear,ISCED,SubjectID,Nr_Hours,Proportion,Status code,Notes
AL,,2024/2025,ISCED 1,Total IT,2926.875,,,-
AL,,2024/2025,ISCED 24,Total IT,3097.5,,,-
AL,,2024/2025,ISCED 1_24,Total IT,6024.375,,,-
AT,AHS,2024/2025,ISCED 1,Total IT,2820,,,-
AT,AHS,2024/2025,ISCED 24,Total IT,3720,,,-
AT,AHS,2024/2025,ISCED 1_24,Total IT,6540,,,-
AT,MS,2024/2025,ISCED 1,Total IT,2820,,,-
AT,MS,2024/2025,ISCED 24,Total IT,3720,,,-
AT,MS,2024/2025,ISCED 1_24,Total IT,6540,,,-
BA,,2024/2025,ISCED 1,Total IT,2700,,,-
BA,,2024/2025,ISCED 24,Total IT,3007.5,,,-
BA,,2024/2025,ISCED 1_24,Total IT,5707.5,,,-
BE_de,,2024/2025,ISCED 1,Total IT,5096,,,-
BE_de,,2024/2025,ISCED 24,Total IT,1698.6666666666665,,,-
BE_de,,2024/2025,ISCED 1_24,Total IT,6794.666666666666,,,-
BE_fr,,2024/2025,ISCED 1,Total IT,4956,,,-
BE_fr,,2024/2025,ISCED 24,Total IT,1770,,,-
BE_fr,,2024/2025,ISCED 1_24,Total IT,6726,,,-
BE_nl,,2024/2025,ISCED 1,Total IT,4928,,,-
BE_nl,,2024/2025,ISCED 24,Total IT,1898.666666666667,,,-
BE_nl,,2024/2025,ISCED 1_24,Total IT,6826.666666666667,,,-
BG,,2024/2025,ISCED 1,Total IT,2028.02,,,-
BG,,2024/2025,ISCED 24,Total IT,2218.7,,,-
BG,,2024/2025,ISCED 1_24,Total IT,4246.719999999999,,,-
CH,,2024/2025,ISCED 1,Total IT,4790,,,-
CH,,2024/2025,ISCED 24,Total IT,2890,,,-
CH,,2024/2025,ISCED 1_24,Total IT,7680,,,-
CY,,2024/2025,ISCED 1,Total IT,4760,,,-
CY,,2024/2025,ISCED 24,Total IT,2521.6800000000003,,,-
CY,,2024/2025,ISCED 1_24,Total IT,7281.68,,,-
CZ,,2024/2025,ISCED 1,Total IT,3345.2999999999997,,,-
CZ,,2024/2025,ISCED 24,Total IT,3458.7000000000003,,,-
CZ,,2024/2025,ISCED 1_24,Total IT,6804,,,-
DE,,2024/2025,ISCED 1,Total IT,2900.6647642548182,,,-
DE,,2024/2025,ISCED 24,Total IT,4432.299425036046,,,-
DE,,2024/2025,ISCED 1_24,Total IT,7332.964189290864,,,-
DK,,2024/2025,ISCED 1,Total IT,7000,,,-
DK,,2024/2025,ISCED 24,Total IT,3600,,,-
DK,,2024/2025,ISCED 1_24,Total IT,10600,,,-
EE,,2024/2025,ISCED 1,Total IT,3963.75,,,-
EE,,2024/2025,ISCED 24,Total IT,2467.5,,,-
EE,,2024/2025,ISCED 1_24,Total IT,6431.25,,,-
EL,,2024/2025,ISCED 1,Total IT,4309.500000000001,,,-
EL,,2024/2025,ISCED 24,Total IT,2373.3333333333335,,,-
EL,,2024/2025,ISCED 1_24,Total IT,6682.833333333334,,,-
ES,,2024/2025,ISCED 1,Total IT,4732.52815628285,,,-
ES,,2024/2025,ISCED 24,Total IT,3157.6256683885526,,,-
ES,,2024/2025,ISCED 1_24,Total IT,7890.153824671403,,,-
FI,,2024/2025,ISCED 1,Total IT,3961.5,,,-
FI,,2024/2025,ISCED 24,Total IT,2451,,,-
FI,,2024/2025,ISCED 1_24,Total IT,6412.5,,,-
FR,,2024/2025,ISCED 1,Total IT,4320,,,-
FR,,2024/2025,ISCED 24,Total IT,3890,,,-
FR,,2024/2025,ISCED 1_24,Total IT,8210,,,-
HR,,2024/2025,ISCED 1,Total IT,1890,,,-
HR,,2024/2025,ISCED 24,Total IT,2651.25,,,-
HR,,2024/2025,ISCED 1_24,Total IT,4541.25,,,-
HU,,2024/2025,ISCED 1,Total IT,2662.65,,,-
HU,,2024/2025,ISCED 24,Total IT,3184.2000000000007,,,-
HU,,2024/2025,ISCED 1_24,Total IT,5846.85,,,-
IE,,2024/2025,ISCED 1,Total IT,5415,,,-
IE,,2024/2025,ISCED 24,Total IT,2769.9999999999995,,,-
IE,,2024/2025,ISCED 1_24,Total IT,8185,,,-
IS,,2024/2025,ISCED 1,Total IT,5100,,,-
IS,,2024/2025,ISCED 24,Total IT,2516,,,-
IS,,2024/2025,ISCED 1_24,Total IT,7616,,,-
IT,,2024/2025,ISCED 1,Total IT,4587,,,-
IT,,2024/2025,ISCED 24,Total IT,2970,,,-
IT,,2024/2025,ISCED 1_24,Total IT,7557,,,-
LI,Gymnasium,2024/2025,ISCED 1,Total IT,3767.3999999999996,,,-
LI,Gymnasium,2024/2025,ISCED 24,Total IT,2839.2,,,-
LI,Gymnasium,2024/2025,ISCED 1_24,Total IT,6606.599999999999,,,-
LI,Realschule,2024/2025,ISCED 1,Total IT,3767.3999999999996,,,-
LI,Realschule,2024/2025,ISCED 24,Total IT,3712.7999999999993,,,-
LI,Realschule,2024/2025,ISCED 1_24,Total IT,7480.199999999999,,,-
LI,Oberschule,2024/2025,ISCED 1,Total IT,3767.3999999999996,,,-
LI,Oberschule,2024/2025,ISCED 24,Total IT,3712.7999999999993,,,-
LI,Oberschule,2024/2025,ISCED 1_24,Total IT,7480.199999999999,,,-
LT,,2024/2025,ISCED 1,Total IT,2677.5,,,-
LT,,2024/2025,ISCED 24,Total IT,5137.125,,,-
LT,,2024/2025,ISCED 1_24,Total IT,7814.625,,,-
LU,classic,2024/2025,ISCED 1,Total IT,5544,,,-
LU,classic,2024/2025,ISCED 24,Total IT,2535,,,-
LU,classic,2024/2025,ISCED 1_24,Total IT,8079,,,-
LU,general_orientation,2024/2025,ISCED 1,Total IT,5544,,,-
LU,general_orientation,2024/2025,ISCED 24,Total IT,2535,,,-
LU,general_orientation,2024/2025,ISCED 1_24,Total IT,8079,,,-
LU,general_preparation,2024/2025,ISCED 1,Total IT,5544,,,-
LU,general_preparation,2024/2025,ISCED 24,Total IT,2534.9999999999995,,,-
LU,general_preparation,2024/2025,ISCED 1_24,Total IT,8079,,,-
