Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,:,not available,Unnamed: 10
Source: ,Eurydice,,,,-,not applicable,
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/school-year-eu-time-holidays,,,,,,
Copyright: ,"European Commission, 2026",,,,,,
Last update: ,2026-01-06 00:00:00,,,,,,
Country,SchoolYear,ISCED,StartYearGovernance,StartYearStartDate,StartYearEndDate,StartYearRange (in days),
BE_fr,2024/2025,ISCED 1,Top-level,2024-08-26 00:00:00,2024-08-26 00:00:00,1,
BE_fr,2024/2025,ISCED 24,Top-level,2024-08-26 00:00:00,2024-08-26 00:00:00,1,
BE_fr,2024/2025,ISCED 34,Top-level,2024-08-26 00:00:00,2024-08-26 00:00:00,1,
BE_de,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
BE_de,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
BE_de,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
BE_nl,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,[[
BE_nl,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
BE_nl,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
BG,2024/2025,ISCED 1,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
BG,2024/2025,ISCED 24,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
BG,2024/2025,ISCED 34,Top-level,2024-09-16 00:00:00,2024-09-16 00:00:00,1,
CZ,2024/2025,ISCED 1,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
CZ,2024/2025,ISCED 24,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
CZ,2024/2025,ISCED 34,Top-level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
DK,2024/2025,ISCED 1,Local level,2024-08-08 00:00:00,2024-08-13 00:00:00,6,
DK,2024/2025,ISCED 24,Local level,2024-08-08 00:00:00,2024-08-13 00:00:00,6,
DK,2024/2025,ISCED 34,School level,2024-08-08 00:00:00,2024-08-15 00:00:00,8,
DE,2024/2025,ISCED 1,Top-level,2024-08-01 00:00:00,2024-09-10 00:00:00,41,
DE,2024/2025,ISCED 24,Top-level,2024-08-01 00:00:00,2024-09-10 00:00:00,41,
DE,2024/2025,ISCED 34,Top-level,2024-08-01 00:00:00,2024-09-10 00:00:00,41,
EE,2024/2025,ISCED 1,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
EE,2024/2025,ISCED 24,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
EE,2024/2025,ISCED 34,Top-level,2024-09-01 00:00:00,2024-09-01 00:00:00,1,
IE,2024/2025,ISCED 1,School level,2024-08-26 00:00:00,2024-09-02 00:00:00,8,
IE,2024/2025,ISCED 24,School level,2024-08-26 00:00:00,2024-09-02 00:00:00,8,
IE,2024/2025,ISCED 34,School level,2024-08-26 00:00:00,2024-09-02 00:00:00,8,
EL,2024/2025,ISCED 1,Top-level,2024-09-11 00:00:00,2024-09-11 00:00:00,1,
EL,2024/2025,ISCED 24,Top-level,2024-09-11 00:00:00,2024-09-11 00:00:00,1,
EL,2024/2025,ISCED 34,Top-level,2024-09-11 00:00:00,2024-09-11 00:00:00,1,
ES,2024/2025,ISCED 1,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
ES,2024/2025,ISCED 24,Top-level,2024-09-10 00:00:00,2024-09-10 00:00:00,1,
ES,2024/2025,ISCED 34,Top-level,2024-09-10 00:00:00,2024-09-10 00:00:00,1,
FR,2024/2025,ISCED 1, More than one authority level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
FR,2024/2025,ISCED 24, More than one authority level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
FR,2024/2025,ISCED 34, More than one authority level,2024-09-02 00:00:00,2024-09-02 00:00:00,1,
HR,2024/2025,ISCED 1,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
HR,2024/2025,ISCED 24,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
HR,2024/2025,ISCED 34,Top-level,2024-09-09 00:00:00,2024-09-09 00:00:00,1,
IT,2024/2025,ISCED 1,Regional/provincial level,2024-09-05 00:00:00,2024-09-16 00:00:00,12,
IT,2024/2025,ISCED 24,Regional/provincial level,2024-09-05 00:00:00,2024-09-16 00:00:00,12,
IT,2024/2025,ISCED 34,Regional/provincial level,2024-09-05 00:00:00,2024-09-16 00:00:00,12,
