System-level indicators for monitoring education and training systems in Europe – 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 22
System-level indicators on early leaving from education and training (ELET),,,,,,,,,,,,,,,,,,,,,
"Indicator 3: Teacher competences related to ELET promoted through top-level competence frameworks for ITE and/or top-level CPD programmes, ISCED 1-34, 2024/2025",,,,,,,,,,,,,,,,,,,,,
,"Diagnosing ELET risk factors (e.g. learning difficulties, truancy, illness, peer-influence or teacher-student-relationships)",,Developing effective interventions to prevent ELET,,"Promoting a positive school climate (e.g. through class management, conflict resolution, relationship building, and bullying and violence prevention)",,"Teaching diverse learners and promoting inclusive approaches (e.g. through avoiding stereotyping, prejudice, and other forms of discrimination)",,Teaching in multilingual and multicultural settings,,Awareness of learners' social and emotional development ,,Collaborating effectively with families from different backgrounds,,"Managing their own (i.e. teachers’) well-being, mental health and stress",,Other,,No top-level competence framework for ITE ,No relevant top-level CPD,
,ITE,CPD,ITE,CPD,ITE,CPD,ITE,CPD,ITE,CPD,ITE,CPD,ITE,CPD,ITE,CPD,ITE,CPD,,,
BEfr,,1,,1,,1,1,1,,1,,1,,1,,1,,,,,Explanatory note:
BEde,1,,,,1,,1,,1,,1,,1,,,,,,,1,"A competence framework can be defined as a set of statements outlining what a teacher should know and be able to do. It typically describes the skills, knowledge, and competences required for effective teaching. The format, value, and recognition of such frameworks can vary between countries."
BEnl,,,,,1,,1,,1,,1,,1,,,,,1,,,"Competence frameworks may inform the content of initial teacher education (ITE), which is designed to equip prospective teachers with core professional competences and to develop the attitudes essential for their future roles and responsibilities. ITE also  usually includes a first practical teaching experience through in-school placements."
BG,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,"Continuing professional development (CPD) refers to the in-service training that teachers undertake throughout their careers to broaden, deepen, and update their knowledge, skills, and professional attitudes. It can take both formal and non-formal forms and may cover subject-specific content as well as pedagogical approaches."
CZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,"A wide range of CPD formats is available, including courses, seminars, workshops, degree programmes, peer or self-observation and reflection, mentoring, participation in teacher networks, and observation visits. In some cases, CPD activities may lead to additional qualifications or certifications."
DK,1,1,,,1,1,1,1,1,1,1,,1,1,,,,,,,Country-specific notes:
DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,Belgium (BE de): There are no ITE programmes for teachers of secondary schools.
EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,Belgium (BE nl): The category 'Other' refers to the fact that school teams independently tailor their CPD programmes to their learning needs without any mandated requirements from the Flemish government.
IE,,1,,1,1,1,1,1,1,1,,1,1,1,,1,,,,,Ireland: Data only apply to ISCED 1 and 24.
EL,,1,,1,,1,,1,,1,,1,,1,,,,,1,,"Luxembourg: While there is no national competence framework for ITE, the Bachelor degree in educational sciences at the University of Luxembourg offers courses covering some of these competencies for future primary school teachers (ISCED 1)."
ES,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,"Austria: The category 'Other' refers to some additional competences areas that are being promoted, such as promoting gender equality, inclusive pedagogy or teaching effectiveness."
FR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,Romania: The category 'Other' refers to teacher competences in using technology to facilitate the learning process.
HR,,,,,1,1,1,1,1,1,1,1,,,1,1,,,,,Liechtenstein: There is no ITE in Liechtenstein.
IT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
CY,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
LV,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,
LT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
LU,,1,,1,,1,,1,,1,,1,,,,,,,1,,
HU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
MT,,1,,1,,1,,1,,1,,1,,1,,1,,,1,,
NL,,,,,1,,1,,1,,1,,1,,1,,,,,1,
AT,,1,,,,1,1,1,1,1,1,1,1,1,,1,1,,,,
PL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
PT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
RO,,,,,,1,,1,,,,1,,1,,1,,1,1,,
SI,,,,,,1,,1,,1,,1,,1,,1,,,1,,
SK,1,1,1,,,1,1,1,,1,1,,1,1,,1,,,,,
FI,,,,,,,,1,,1,,,,,,,,,1,,
SE,1,,,1,1,1,1,1,,1,1,,1,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,1,1,
BA,,,,,,,,,,,,,,,,,,,1,1,
IS,,,,,,1,,1,1,1,,1,,1,,,,,,,
LI,,,,,,1,,1,,1,,1,,1,,1,,,1,,
ME,,1,,1,1,1,1,1,1,1,,1,,1,,1,,,,,
NO,,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,,
RS,,1,,1,,1,,1,,1,,1,,1,,1,,,1,,
TR,,,,,,,,,,,,,,,,1,,,1,,
Source: Eurydice,,,,,,,,,,,,,,,,,,,,,
