System-level indicators for monitoring education and training systems in Europe – 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 10
System-level indicators on early leaving from education and training (ELET),,,,,,,,,
"Indicator 4: Top-level policies and measures for addressing absenteeism, ISCED 1–34, 2024/2025",,,,,,,,,
,Family and community engagement,Supportive interventions,Flexible scheduling,School climate actions,Policy enforcement,Health and well-being programmes,Other,No top-level policy/measure to address absenteeism,
BEfr,1,,,1,1,,,,Explanatory note:
BEde,1,1,1,1,1,1,,,"Policies and measures to address absenteeism often involve a combination of preventive, supportive, and corrective strategies aimed at enabling timely interventions to reduce student disengagement and prevent early leaving from education and training (ELET). Key measures include:"
BEnl,1,1,1,1,,1,,,"1. Family and community engagement: Collaborating with families and community organisations to identify and address the underlying causes of absenteeism, such as transportation difficulties, family responsibilities, or lack of academic or emotional support."
BG,1,1,1,1,1,1,,,"2. Supportive interventions: Providing targeted support such as counselling, mentoring, or case management for students with persistent or high levels of absenteeism."
CZ,1,1,,1,1,1,,,"3. Flexible scheduling: Offering flexible timetables or alternative learning arrangements, including online or blended learning, to accommodate students facing barriers related to health, caregiving responsibilities, or other personal circumstances."
DK,1,1,,,1,1,,,"4. Improving school climate: Creating a positive and inclusive school environment where students feel safe, supported, respected, and motivated to attend regularly.
"
DE,1,1,,1,1,1,,,"5. Policy enforcement: Establishing and clearly communicating attendance policies, while ensuring consistent, fair implementation that balances accountability with appropriate support mechanisms."
EE,,,,1,1,1,,,"6. Health and well-being programmes: Implementing initiatives that promote students’ mental and physical health, which can improve their capacity to engage consistently with school."
IE,,,,,,,,1,Country-specific notes:
EL,1,1,1,1,1,1,,,"Belgium (BE fr): At ISCED 1, school principals can accept unlimited parental excuses for absences due to exceptional circumstances like family issues or health problems, whereas, at ISCED 24-34, such excuses are limited to 8 to 16 half-days annually depending on the school's internal regulations."
ES,1,1,1,1,1,1,,,Belgium (German-speaking Community): The SKEI project applies to ISCED 1; the Time Out project applies to ISCED 24 and 34.
FR,1,1,1,1,1,1,,,Estonia: The Health and wellbeing programmes KiVa and Schools in Motion apply tp ISCED 1-24.
HR,,,,,1,,,,Croatia and Slovenia: There are differences in regulations on absences between ISCED 1-24 and ISCED34.
IT,1,1,1,1,1,1,,,Lithuania: The life skills curriculum only applies to ISCED 1-24.
CY,,1,,1,1,1,,,"Luxembourg: Except for the obligation to notify the Ministry after 48h of missed classes, the listed measures do not apply to ISCED 1."
LV,1,,,1,,,,,Malta: The category 'Other' refers to blended learning pathways.
LT,1,1,,1,1,1,,,"Portugal: The category 'Other' refers to a range of other policy initiatives to combat absenteeism, such as inclusive education, targeted programmes like Priority Intervention Educational Territories, alternative secondary education pathways, and distance learning."
LU,1,1,,1,1,1,,,Slovakia: The category 'Other' refers to desegregation measures.
HU,,1,,,1,,,,"Finland: At ISCED 34, the education provider decides on the regulations regarding student absence. The category 'Other' refers to measures to instructions and tools for teachers, principals and managers on how to support school attendance and address absences. "
MT,1,1,1,1,1,1,1,,"Sweden: Special teaching groups and individual teaching apply only to ISCED levels 1-24. Extended teaching is specific to ISCED 34, while home teaching for illness is available at all levels. Consultation with student health is mandatory in primary education (ISCED 1-2) and recommended for ISCED 3. "
NL,,,,,1,,,,"Bosnia and Herzegovina: Since primary education is compulsory, unlike secondary education, disciplinary measures differ, with primary students exceeding the absence limit facing transfer to another school rather than expulsion."
AT,,1,,1,,,,,Iceland: Policy enforcement and health and well-being programmes only apply to ISCED 1-24.
PL,,1,1,1,1,1,,,"Montenegro: The category 'Other' refers to the fact that the Montenegrin Educational Information System allows parents to track student achievements, attendance, and disciplinary measures using a code provided by the head teacher at the start of the school year."
PT,1,1,,,1,1,1,,"Norway: Absence monitoring applies to all ISCED levels, with a 10% absence limit for ISCED 34. From 1 August 2025, students must self-certify absences up to 10%, after which a medical certificate is required. Exemptions for political, religious, and medical reasons remain, absences will appear on school certificates, and principals can allow grading for absences up to 15% in justified cases."
RO,1,1,,1,1,1,,,
SI,,,,,1,,,,
SK,1,1,,,1,1,1,,
FI,1,1,1,1,1,1,1,,
SE,1,1,1,1,,1,,,
AL,,,,,,,,1,
BA,1,1,,,1,,,,
IS,,,,1,1,1,,,
LI,,,,,,,,1,
ME,1,1,,,,,1,,
NO,,1,,,1,,,,
RS,1,,,,,,,,
TR,1,1,,1,1,,,,
Source: Eurydice,,,,,,,,,
