System-level indicators for monitoring education and training systems in Europe – 2024. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
System-level indicators on equity in school and higher education,,,,,,,
"Figure 1: Additional funding supporting all or some schools enrolling disadvantaged students, ISCED 1 to 34, 2023/2024",,,,,,,
,Additional funding from national (regional) budget: all schools,Additional funding from national (regional) budget: some schools,Additional funding from EU budget: all schools,Additional funding from EU budget: some schools,Additional funding from other budget,No additional funding,Local or school autonomy
BEfr,1,0,1,0,0,0,0
BEde,1,0,0,0,0,0,0
BEnl,1,0,0,0,0,0,0
BG,1,0,0,1,0,0,0
CZ,1,0,1,0,0,0,0
DK,1,0,0,0,0,0,0
DE,0,1,0,0,0,0,0
EE,1,0,0,0,0,0,0
IE,0,1,0,0,0,0,0
EL,0,0,0,0,0,1,0
ES,1,0,0,1,0,0,0
FR,0,1,0,1,0,0,0
HR,1,0,1,0,0,0,0
IT,1,0,0,1,0,0,0
CY,0,1,0,1,0,0,0
LV,1,0,1,0,0,0,0
LT,0,0,0,0,0,1,0
LU,1,0,0,0,0,0,0
HU,0,1,0,0,0,0,0
MT,1,0,0,0,0,0,0
NL,1,0,0,0,0,0,0
AT,1,0,0,0,0,0,0
PL,0,1,0,1,0,0,0
PT,1,0,0,1,0,0,0
RO,1,0,0,1,0,0,0
SI,1,0,0,0,0,0,0
SK,1,0,0,1,0,0,0
FI,1,0,0,0,0,0,0
SE,1,0,0,0,0,0,0
AL,1,0,0,0,0,0,0
BA,0,0,0,0,0,1,0
IS,1,0,0,0,0,0,0
LI,1,0,0,0,0,0,0
ME,0,0,0,1,0,0,0
MK,0,0,0,0,0,1,0
NO,0,1,0,0,0,0,0
RS,0,0,0,0,0,1,0
TR,0,0,0,0,0,1,0
Country-specific notes:,,,,,,,
"LU: At ISCED 1, additional funding from national budget in some schools",,,,,,,
"SE: At ISCED 34, there is no additional funding",,,,,,,
"IS: At ISCED 34, there is additional funding from national budget in some schools",,,,,,,
