System-level indicators for monitoring education and training systems in Europe – 2024. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
System-level indicators on equity in school and higher education,,,,
"Figure 3: Non-financial measures for teachers working in schools with a large number of disadvantaged students, ISCED 1 to 34, 2023/2024",,,,
,Better working conditions or similar,Faster career progression,Preferential next assignment,No additional non-financial measures
BEfr,0,0,1,0
BEde,0,0,0,1
BEnl,1,0,0,0
BG,1,0,0,0
CZ,0,0,0,1
DK,0,0,0,1
DE,1,0,0,0
EE,1,0,0,0
IE,0,0,0,1
EL,0,0,0,1
ES,1,0,1,0
FR,1,1,1,0
HR,1,0,0,0
IT,1,0,0,0
CY,1,0,0,0
LV,1,0,0,0
LT,1,0,0,0
LU,0,0,0,1
HU,1,0,0,0
MT,0,0,0,1
NL,1,0,0,0
AT,0,0,0,1
PL,1,0,0,0
PT,1,0,0,0
RO,1,0,0,0
SI,1,0,0,0
SK,1,0,0,0
FI,0,0,0,1
SE,0,0,0,1
AL,0,0,0,1
BA,0,0,0,1
IS,0,0,0,1
LI,1,0,0,0
ME,1,1,0,0
MK,1,0,0,0
NO,1,0,0,0
RS,0,0,0,1
TR,0,0,0,1
Country-specific notes:,,,,
"FR: At ISCED 3,there are no additional non-financial measures",,,,
