System-level indicators for monitoring education and training systems in Europe – 2024. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
System-level indicators on equity in school and higher education,,,,
"Figure 4: Funding for higher education institutions linked to quantitative equity-related targets, 2023/2024",,,,
,Funding linked to widening access targets,Funding linked to completion targets,Funding linked to other equity targets,No equity targets linked to funding
BEfr,0,0,0,1
BEde,0,0,0,1
BEnl,0,1,1,0
BG,0,0,0,1
CZ,0,0,0,1
DK,0,0,0,1
DE,0,0,0,1
EE,0,0,0,1
IE,1,1,0,0
EL,1,0,0,0
ES,0,0,0,1
FR,0,0,0,1
HR,0,0,0,1
IT,1,1,0,0
CY,0,0,0,1
LV,0,0,0,1
LT,1,1,0,0
LU,0,0,0,1
HU,0,0,0,1
MT,0,0,0,1
NL,0,0,0,1
AT,1,1,0,0
PL,1,1,0,0
PT,0,0,0,1
RO,1,0,0,0
SI,0,0,0,1
SK,0,1,0,0
FI,0,0,0,1
SE,0,0,0,1
AL,0,0,0,1
BA,0,0,0,1
IS,0,0,0,1
LI,0,0,0,1
ME,0,0,0,1
MK,0,0,0,1
NO,0,0,0,1
RS,0,0,0,1
TR,0,0,0,1
