System-level indicators for monitoring education and training systems in Europe – 2024. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
System-level indicators on equity in school and higher education,,,,,,
"Figure 5: Financial support for higher education student accommodation, meals and transport, 2023/2024",,,,,,
,Subsidised accommodation in all HEIs,Subsidised meals in all HEIs,Subsidised transport in all HEIs,"Subsidised accommodation, meals or public transport, but only for some HEIs","No subsidised accommodation, meals or public transport",Local autonomy
BEfr,1,1,1,0,0,0
BEde,0,1,0,0,0,0
BEnl,1,1,1,0,0,0
BG,1,1,1,0,0,0
CZ,1,1,1,0,0,0
DK,1,1,1,0,0,0
DE,1,1,1,0,0,0
EE,0,0,1,0,0,0
IE,0,1,1,0,0,0
EL,1,1,1,0,0,0
ES,1,0,0,0,0,0
FR,0,0,1,0,0,0
HR,1,1,1,0,0,0
IT,1,1,1,0,0,0
CY,1,1,1,0,0,0
LV,0,0,1,0,0,0
LT,1,0,1,0,0,0
LU,1,1,1,0,0,0
HU,1,0,1,0,0,0
MT,0,1,1,0,0,0
NL,1,1,1,0,0,0
AT,0,1,1,0,0,0
PL,0,0,1,0,0,0
PT,1,1,1,0,0,0
RO,1,1,1,0,0,0
SI,1,1,1,0,0,0
SK,1,1,1,0,0,0
FI,1,1,1,0,0,0
SE,0,0,0,0,0,1
AL,0,0,0,0,1,0
BA,1,1,0,0,0,0
IS,0,0,0,1,0,0
LI,1,1,1,0,0,0
ME,1,1,1,0,0,0
MK,1,1,1,0,0,0
NO,0,0,0,0,1,0
RS,1,1,0,0,0,0
TR,0,0,0,1,0,0
Country-specific note:,,,,,,
"SE and NO: Students receive a study grant. In addition, depending on local and university level agreements, students may benefit from discounted accommodation, transport and meals.",,,,,,
