System-level indicators for monitoring education and training systems in Europe – 2024. Eurydice background report,Unnamed: 1,Unnamed: 2
System-level indicators on equity in school and higher education,,
"Figure 6: Financial support to higher education institutions to train academic staff on diversity/inclusion, 2023/2024",,
,Financial support for training HEI staff on inclusion,No financial support for training HEI staff on inclusion
BEfr,0,1
BEde,0,1
BEnl,0,1
BG,0,1
CZ,1,0
DK,0,1
DE,0,1
EE,1,0
IE,1,0
EL,0,1
ES,0,1
FR,1,0
HR,0,1
IT,1,0
CY,0,1
LV,0,1
LT,1,0
LU,0,1
HU,1,0
MT,0,1
NL,0,1
AT,1,0
PL,1,0
PT,0,1
RO,1,0
SI,0,1
SK,0,1
FI,1,0
SE,0,1
AL,0,1
BA,0,1
IS,0,1
LI,0,1
ME,0,1
MK,0,1
NO,0,1
RS,0,1
TR,0,1
