System-level indicators for monitoring education and training systems in Europe – 2025. Eurydice background report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
System-level indicators on equity in school education,,,,
"Indicator 4: Regulations or recommendations on ability grouping, ISCED 1 to 34, 2024/2025",,,,
,High ability students grouped in same classes,Low ability students grouped in same classes,Ability grouping is discouraged,No regulations/recommendations on ability grouping
BEfr,0,0,1,0
BEde,0,0,0,1
BEnl,0,0,0,1
BG,0,0,0,1
CZ,0,0,0,1
DK,0,0,0,1
DE,1,1,0,0
EE,0,0,1,0
IE,0,0,0,1
EL,0,0,0,1
ES,0,0,1,0
FR,0,0,0,1
HR,0,0,0,1
IT,0,0,0,1
CY,0,0,0,1
LV,0,0,0,1
LT,0,0,0,1
LU,0,0,0,1
HU,0,0,1,0
MT,1,1,0,0
NL,0,0,0,1
AT,0,0,0,1
PL,0,0,0,1
PT,0,0,1,0
RO,0,0,0,1
SI,0,0,0,1
SK,0,0,0,1
FI,0,0,1,0
SE,0,0,0,1
AL,0,0,0,1
BA,0,0,0,1
IS,0,0,0,1
LI,0,0,1,0
ME,0,0,1,0
NO,0,0,1,0
RS,0,0,0,1
TR,0,0,1,0
Total,2,2,10,25
Source:,Eurydice,,,
Country notes:,,,,
FR,"At ISCED 2 (grades 6 and 7), in French and mathematics, high ability students are grouped in the same classes, low ability students are also grouped in the same classes.",,,
AT,"At ISCED 2, low ability students are grouped in the same classes.",,,
FI,"At ISCED 3, there are no regulations on ability grouping.",,,
