Indicator 3a,"Other top-level requirements to become school head, by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Category,Requirement,Year,ISCED level,BE-FR,BE-DE,BE-NL,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Heads,Teaching experience (number of years),2020/2021,ISCED 02,3,5,0,5,3,0,:,0,a,8,5,2,5,a,16,0,2,0,4,14,0,:,5,5,5,5,5,0,0,5,0,:,0,a,5,a,0,10,2
Heads,Teaching experience (number of years),2020/2021,ISCED 1,3,5,0,5,4,0,:,0,5,8,5,2,8,5,16,0,2,0,4,14,0,5,5,5,5,5,5,0,0,5,0,:,0,3,5,5,0,8,2
Heads,Teaching experience (number of years),2020/2021,ISCED 24,3,5,0,5,4,0,:,0,5,10,5,4,8,5,15,0,2,2,4,14,0,5,5,5,5,5,5,0,0,5,0,:,0,3,5,5,0,8,2
Heads,Teaching experience (number of years),2020/2021,ISCED 34,3,5,0,5,5,0,:,0,5,10,5,4,8,5,15,0,2,2,4,14,0,6,5,5,5,5,5,0,0,5,0,:,0,3,5,5,0,8,2
Heads,Teaching experience (number of years),2021/2022,ISCED 02,3,5,0,5,3,0,:,0,a,8,5,2,5,a,16,0,2,0,4,14,0,:,5,5,5,5,5,0,0,5,5,:,0,a,5,a,0,10,2
Heads,Teaching experience (number of years),2021/2022,ISCED 1,3,5,0,5,4,0,:,0,5,8,5,2,8,5,16,0,2,0,4,14,0,5,5,5,5,5,5,0,0,5,5,:,0,3,5,a,0,8,2
Heads,Teaching experience (number of years),2021/2022,ISCED 24,3,5,0,5,4,0,:,0,5,10,5,4,8,5,15,0,2,5,4,14,0,5,5,5,5,5,5,0,0,5,5,:,0,3,5,a,0,8,2
Heads,Teaching experience (number of years),2021/2022,ISCED 34,3,5,0,5,5,0,:,0,5,10,5,4,8,5,15,0,2,5,4,14,0,5,5,5,5,5,5,0,0,5,5,:,0,3,5,a,0,8,2
Heads,Teaching experience (number of years),2022/2023,ISCED 02,3,5,0,5,3,0,:,0,a,8,5,2,5,a,16,0,2,0,4,14,:,:,5,5,5,5,5,:,0,5,5,5,:,a,5,a,0,10,3
Heads,Teaching experience (number of years),2022/2023,ISCED 1,3,5,0,5,4,0,:,0,5,8,5,2,8,5,16,0,2,0,4,14,:,5,5,5,5,5,5,:,0,5,5,5,:,3,5,5,0,8,3
Heads,Teaching experience (number of years),2022/2023,ISCED 24,3,5,0,5,4,0,:,0,5,8,5,4,8,5,15,0,2,5,4,14,:,5,5,5,5,5,5,:,0,5,5,5,:,3,5,5,0,8,3
Heads,Teaching experience (number of years),2022/2023,ISCED 34,3,5,0,5,5,0,:,0,5,8,5,4,8,5,15,0,2,5,4,14,:,5,5,5,5,5,5,:,0,5,5,5,:,3,5,5,0,8,3
Heads,Teaching experience (number of years),2023/2024,ISCED 02,3,5,0,5,3,0,:,0,a,8,5,2,5,a,16,0,2,a,4,14,0,:,5,5,5,5,5,:,0,5,5,5,0,a,5,:,0,10,3
Heads,Teaching experience (number of years),2023/2024,ISCED 1,3,5,0,5,4,0,:,0,5,8,5,2,8,5,16,0,2,a,4,14,0,5,5,5,5,5,5,:,0,5,5,5,0,3,5,:,0,8,3
Heads,Teaching experience (number of years),2023/2024,ISCED 24,3,5,0,5,4,0,:,0,5,8,5,4,8,5,15,0,2,5,4,14,0,5,5,5,5,5,5,:,0,5,5,5,0,3,5,:,0,8,3
Heads,Teaching experience (number of years),2023/2024,ISCED 34,3,5,0,5,5,0,:,0,5,8,5,4,8,5,15,0,2,5,4,14,0,6,5,5,5,5,5,:,0,5,5,5,0,3,5,:,0,8,3
Heads,Managerial/Leadership certification or training,2020/2021,ISCED 02,Yes,Yes,No,No,Yes,No,:,Yes,a,No,Yes,No,No,a,No,No,Yes,No,Yes,No,No,a,No,No,No,Yes,No,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2020/2021,ISCED 1,Yes,Yes,No,No,Yes,No,:,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2020/2021,ISCED 24,Yes,Yes,No,No,Yes,No,:,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2020/2021,ISCED 34,Yes,Yes,No,No,Yes,No,:,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2021/2022,ISCED 02,Yes,No,No,No,Yes,No,:,Yes,a,No,Yes,No,No,a,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2021/2022,ISCED 1,Yes,No,No,No,Yes,No,:,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2021/2022,ISCED 24,Yes,No,No,No,Yes,No,:,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2021/2022,ISCED 34,Yes,No,No,No,Yes,No,:,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,:,Yes,Yes,Yes,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2022/2023,ISCED 02,Yes,No,No,No,Yes,Yes,:,:,a,No,Yes,No,No,a,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,:,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2022/2023,ISCED 1,Yes,No,No,No,Yes,Yes,:,:,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,:,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2022/2023,ISCED 24,Yes,No,No,No,Yes,Yes,:,:,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,:,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2022/2023,ISCED 34,Yes,No,No,No,Yes,Yes,:,:,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,:,Yes,No,Yes,No
Heads,Managerial/Leadership certification or training,2023/2024,ISCED 02,Yes,No,No,No,Yes,Yes,:,Yes,a,No,Yes,No,No,a,No,Yes,No,No,Yes,No,Yes,:,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,:,No,:,No,Yes,No
Heads,Managerial/Leadership certification or training,2023/2024,ISCED 1,Yes,No,No,No,Yes,Yes,:,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,:,No,Yes,No
Heads,Managerial/Leadership certification or training,2023/2024,ISCED 24,Yes,No,No,No,Yes,Yes,:,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,:,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,:,No,Yes,No
Heads,Managerial/Leadership certification or training,2023/2024,ISCED 34,Yes,No,No,No,Yes,Yes,:,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,:,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,:,No,Yes,No
