Indicator 6,"Authority defining school heads' statutory salaries, by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Category,Year,ISCED level,BE-FR,BE-DE,BE-NL,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Heads,2020/2021,ISCED 02,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Provincial/regional authorities,Central/State government or top level authorities,More than one authority level,:,a,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Local authorities,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,a,Central/State government or top level authorities,Collective agreement,Collective agreement,Provincial/regional authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2020/2021,ISCED 1,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,:,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,a,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2020/2021,ISCED 24,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,:,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2020/2021,ISCED 34,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,:,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2021/2022,ISCED 02,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Provincial/regional authorities,Central/State government or top level authorities,More than one authority level,:,a,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Local authorities,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,a,Central/State government or top level authorities,Collective agreement,Collective agreement,Provincial/regional authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2021/2022,ISCED 1,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,:,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,a,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2021/2022,ISCED 24,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,:,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2021/2022,ISCED 34,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,:,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,More than one authority level,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
Heads,2022/2023,ISCED 02,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Provincial/regional authorities,Central/State government or top level authorities,More than one authority level,:,a,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Local authorities,a,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,a,Central/State government or top level authorities,Collective agreement,Collective agreement,Provincial/regional authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Central/State government or top level authorities,Collective agreement,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Collective agreement,Central/State government or top level authorities,Local authorities,Central/State government or top level authorities,Central/State government or top level authorities
