AREAGEOGRAFICA,CODICECRITERIO,count,mean,std
CENTRO,21,1398,5.11,1.0141858197037867
CENTRO,22,1397,4.27,1.1933426653100296
CENTRO,23,1398,4.94,0.9809225379567461
CENTRO,24,1398,5.0,1.0624701982369014
ISOLE,21,833,4.82,1.0600873034611158
ISOLE,22,831,3.89,1.267138464443466
ISOLE,23,833,4.83,1.0086473356823544
ISOLE,24,833,4.62,1.0731227179201441
NORD EST,21,1181,5.02,0.9976888863739912
NORD EST,22,1180,4.45,1.2056717146199802
NORD EST,23,1180,4.71,0.9385065553419755
NORD EST,24,1178,4.89,1.0065343386709318
NORD OVEST,21,1602,5.02,0.9610171397823457
NORD OVEST,22,1602,4.38,1.1957155626209477
NORD OVEST,23,1602,4.79,0.9196760742580132
NORD OVEST,24,1602,4.87,0.9775573673248538
SUD,21,1662,5.03,1.0900653887504954
SUD,22,1660,4.08,1.2127564596663822
SUD,23,1661,4.92,1.0438761580733704
SUD,24,1661,4.8,1.1179326123219138
