region,bes_rate_per_100_infanzia,bes_rate_per_100_primaria,bes_rate_per_100_secondaria_i,bes_rate_per_100_secondaria_ii,bes_rate_per_100_all_orders,source_school_year
PIEMONTE,1.562589696781823,7.9437155307816765,15.315046098947942,13.528432699100739,10.206493738552943,2022/2023
VALLE D'AOSTA-VALLÉE D'AOSTE,0.31834460803820136,6.875,16.56390134529148,13.988993431563998,10.330283949150528,2022/2023
LOMBARDIA,1.6536285295447384,9.026594049252346,16.212890111865484,14.00324378044197,10.848694804486064,2022/2023
P.A. BOLZANO - BOZEN,0.7783882783882784,8.068990042674253,13.297357837397545,12.772021594071688,9.694563898996583,2022/2023
P. A. TRENTO,0.5520169851380042,5.430315604676216,11.214448577943118,8.568677792041077,7.509047486483715,2022/2023
VENETO,1.0055328361799374,7.158343927702056,12.342611361770455,8.019222917968117,7.542926123689601,2022/2023
FRIULI VENEZIA GIULIA,1.5843867441065937,9.233419090393756,15.51122033240639,12.32692973347179,10.312636582167832,2022/2023
LIGURIA,0.8723235527359239,9.037863544905798,16.0118859787525,15.025044599972553,11.280462036906606,2022/2023
EMILIA-ROMAGNA,0.8451769791948122,7.463341069766944,15.507573920999741,12.69178760940986,9.892672983351328,2022/2023
TOSCANA,1.6443151902746957,7.621399176954733,14.951315516884193,14.449979672700133,10.538549414629266,2022/2023
UMBRIA,1.1003272768310575,6.055318035075474,11.95797847045091,11.009080706050403,8.178084585809158,2022/2023
MARCHE,1.132845722061575,6.875473687679177,11.885929903490313,10.4827227424566,8.351591384807996,2022/2023
LAZIO,1.161629669252028,7.356435439701856,12.320215771584786,11.342442070998313,8.829000715478177,2022/2023
ABRUZZO,0.3208213025344883,5.478714195025296,9.755234444116779,9.179474105907204,6.684156293304593,2022/2023
MOLISE,0.3067484662576687,4.453518184407939,8.320023232176563,7.730574857864814,5.671766342141864,2022/2023
CAMPANIA,0.8068461391206937,3.595858682560761,6.283347657804722,3.5226833804517526,3.652572818342384,2022/2023
PUGLIA,0.591715976331361,4.183711760037895,7.354967710556892,5.207934358664516,4.601248329764062,2022/2023
BASILICATA,0.16928011404134,4.246874379837269,9.173973914965735,5.801029024783001,5.108504232233142,2022/2023
CALABRIA,0.545322894510567,3.3563684777784824,5.383152653349278,4.049273311449549,3.5057994567451582,2022/2023
SICILIA,0.6752625050229747,3.3117166315869313,6.146641195255474,4.872147478155672,3.940819788549299,2022/2023
SARDEGNA,1.282373648478753,6.696236943768779,12.605248300071189,11.306700670222526,8.743345957255224,2022/2023
NORD,1.3176870724544563,8.181454096547673,15.063275507657636,12.470035194584852,9.909118722335576,2022/2023
CENTRO,1.3043478260869565,7.283466194760519,13.02098242179685,12.15961069465829,9.240578612820672,2022/2023
MEZZOGIORNO,0.685333472443204,3.9606965630669104,7.128491189465902,5.173344352710008,4.473729597073119,2022/2023
ITALIA,1.0851980067275317,6.562800201063026,11.959626532877406,9.760623322052403,7.8649539805273285,2022/2023
IL DATO RELATIVO ALLA PROVINCIA AUTONOMA DI BOLZANO È RILEVATO DALL'ISTITUTO PROVINCIALE DI STATISTICA (ASTAT),,,,,,2022/2023
