REGIONE,PROVINCIA,DESCRIZIONECOMUNE,TIPOPERCORSO,INDIRIZZO,DISCIPLINA
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Religione Cattolica/Attivita' Alternativa
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Matematica
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Scienze Umane
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Storia Dell'Arte
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Fisica
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Storia Della Musica
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Linguaggi E Tecniche Della Progettazione E Comunicazione Audiovisiva
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Lingua E Cultura Straniera (Tedesco)
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Storia
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Scienze Motorie E Sportive
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Pedagogia
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Lingua Inglese
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Disegno
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Discipline Progettuali Architettura E Ambiente
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Laboratorio Artistico
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Lingua Latina
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Lingua E Letteratura Italiana
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Lingua E Cultura Straniera (Francese)
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Psicologia Generale Ed Applicata
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Filosofia
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Diritto Ed Economia
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Scienze Umane E Sociali
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Chimica
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Lingua E Cultura Straniera (Spagnolo)
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Tecnologie Informatiche
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Lingua E Cultura Greca
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Tecnologie Musicali
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,Storia E Geografia
Lombardia,Brescia,Breno,Liceo,Artistico Nuovo Ordinamento - Biennio Comune,"Teoria, Analisi E Composizione"
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Tecnologie E Progettazione Di Sistemi Informatici E Di Telecomunicazioni
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Religione Cattolica/Attivita' Alternativa
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,"Gestione Progetto, Organizzazione D'Impresa"
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,"Scienze Naturali (Biologia, Chimica, Scienze Della Terra)"
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Matematica
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Storia Dell'Arte
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Meccanica E Macchine
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Tecnologie E Progettazione Di Sistemi Elettrici Ed Elettronici
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Sistemi E Automazione
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Fisica
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Storia
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Scienze Motorie E Sportive
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Scienze E Tecnologie Applicate
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Diritto E Legislazione Socio-Sanitaria
Lombardia,Pavia,Vigevano,Tecnico,Meccanica E Meccatronica,Lingua Inglese
