provincia,macro_area,edifici_totali,pct_agibilita,pct_antincendio,pct_dvr
Roma,Centro,2910,11.0,15.5,77.1
Napoli,Sud,2793,21.3,35.0,59.1
Torino,Nord,2060,59.0,46.8,94.1
Milano,Nord,1785,40.4,32.4,84.1
Salerno,Sud,1417,39.4,15.5,60.8
Brescia,Nord,1200,54.8,55.1,91.0
Catania,Sud,1191,22.6,28.4,83.5
Bari,Sud,1085,39.0,28.1,85.8
Palermo,Sud,1078,24.3,27.9,79.9
Cagliari,Sud,976,13.8,26.2,75.7
Padova,Nord,906,47.5,44.4,91.6
Lecce,Sud,874,26.4,34.1,70.6
Messina,Sud,828,16.3,19.1,82.5
Bologna,Nord,795,36.9,55.6,83.9
Firenze,Centro,777,24.1,35.9,92.0
Verona,Nord,711,59.8,48.2,87.9
Venezia,Nord,693,34.9,50.9,95.8
Genova,Nord,663,35.4,36.3,69.5
