feature,coefficient,absolute_coefficient
lower_foreign_share_t_minus_1,-0.8013909414372814,0.8013909414372814
upper_lic_t,-0.6314700244472907,0.6314700244472907
lower_class_size_t_minus_1,0.5334390072584997,0.5334390072584997
lower_public_share_t_minus_1,-0.3337602104560519,0.3337602104560519
lower_median_grade_t_minus_1,0.3299657274601708,0.3299657274601708
upper_voc_t,-0.26589190337281265,0.26589190337281265
transition_jump_all_t,0.23873075614526706,0.23873075614526706
upper_repeaters_all_t,0.23635181951522138,0.23635181951522138
upper_tec_minus_lic_t,0.21389126306306538,0.21389126306306538
transition_jump_fir_t,0.19443061241654822,0.19443061241654822
upper_repeaters_fir_t,0.19345314703786043,0.19345314703786043
lower_disability_per_1000_t_minus_1,0.18896564153565162,0.18896564153565162
upper_tec_t,-0.18763774395652005,0.18763774395652005
upper_voc_minus_lic_t,-0.06381843097175335,0.06381843097175335
lower_exam_failure_t_minus_1,-0.01825455128087302,0.01825455128087302
lower_exam_success_t_minus_1,0.01825455128087125,0.01825455128087125
TIME_PERIOD,0.0,0.0
