REF_AREA,Territorio,TIME_PERIOD,neet_count_15_29,neet_risk_index,neet_percentile,covid_period
ITF3,Campania,2023,256.461,2.284654682464098,1.0,recovery
ITC,Nord-ovest,2023,250.68,2.2110452410533643,0.9583333333333334,recovery
ITG1,Sicilia,2023,212.985,1.73107501203112,0.9166666666666666,recovery
ITD,Nord-est,2023,177.722,1.2820714257196357,0.875,recovery
ITC4,Lombardia,2023,156.854,1.0163592957491836,0.8333333333333334,recovery
ITF4,Puglia,2023,136.946,0.7628708405329787,0.7916666666666666,recovery
ITE4,Lazio,2023,112.269,0.4486587343761431,0.75,recovery
ITF6,Calabria,2023,77.702,0.008517312261488087,0.7083333333333334,recovery
ITD3,Veneto,2023,75.28,-0.02232200050391513,0.6666666666666666,recovery
ITC1,Piemonte,2023,69.5,-0.09591870892011282,0.625,recovery
ITD5,Emilia-Romagna,2023,69.074,-0.10134296459231013,0.5833333333333334,recovery
ITE1,Toscana,2023,55.739,-0.2711374467255275,0.5416666666666666,recovery
ITG2,Sardegna,2023,40.648,-0.46329106726338887,0.5,recovery
ITF1,Abruzzo,2023,27.545,-0.6301314946643297,0.4583333333333333,recovery
ITC3,Liguria,2023,22.57,-0.6934781424793096,0.3958333333333333,recovery
ITE3,Marche,2023,22.57,-0.6934781424793096,0.3958333333333333,recovery
ITD4,Friuli-Venezia Giulia,2023,18.008,-0.751566063551056,0.3333333333333333,recovery
ITDA,Trentino Alto Adige / Südtirol,2023,15.359,-0.7852957660760572,0.2916666666666667,recovery
ITF5,Basilicata,2023,13.768,-0.8055539603823152,0.25,recovery
ITE2,Umbria,2023,12.46,-0.8222087172349771,0.20833333333333334,recovery
ITD2,Provincia Autonoma Trento,2023,8.251,-0.8758018912356305,0.16666666666666666,recovery
ITF2,Molise,2023,7.539,-0.8848677833450306,0.125,recovery
ITD1,Provincia Autonoma Bolzano / Bozen,2023,7.108,-0.8903557039899063,0.08333333333333333,recovery
ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2023,1.756,-0.9585026907448353,0.041666666666666664,recovery
ITF3,Campania,2024,236.987,2.249258827918714,1.0,recovery
ITC,Nord-ovest,2024,235.828,2.233397159489468,0.9583333333333334,recovery
ITG1,Sicilia,2024,196.347,1.6930740091399732,0.9166666666666666,recovery
ITD,Nord-est,2024,156.564,1.1486177924698295,0.875,recovery
ITC4,Lombardia,2024,150.13,1.060564319929908,0.8333333333333334,recovery
ITF4,Puglia,2024,131.192,0.8013854789350313,0.7916666666666666,recovery
ITE4,Lazio,2024,124.845,0.7145226579510582,0.75,recovery
ITF6,Calabria,2024,74.717,0.028488391323580147,0.7083333333333334,recovery
ITD3,Veneto,2024,64.777,-0.10754697035606256,0.6666666666666666,recovery
ITD5,Emilia-Romagna,2024,60.848,-0.16131788947470607,0.625,recovery
ITC1,Piemonte,2024,58.861,-0.1885112761605663,0.5833333333333334,recovery
ITE1,Toscana,2024,56.406,-0.2221095470784257,0.5416666666666666,recovery
ITG2,Sardegna,2024,36.95,-0.48837755480872036,0.5,recovery
ITF1,Abruzzo,2024,31.179,-0.5673574413533097,0.4583333333333333,recovery
ITC3,Liguria,2024,24.984,-0.6521400435268898,0.4166666666666667,recovery
ITE3,Marche,2024,22.643,-0.6841781503369546,0.375,recovery
ITD4,Friuli-Venezia Giulia,2024,17.537,-0.7540570795860749,0.3333333333333333,recovery
ITF5,Basilicata,2024,13.822,-0.8048992695900863,0.2916666666666667,recovery
ITDA,Trentino Alto Adige / Südtirol,2024,13.402,-0.8106472426188036,0.25,recovery
ITE2,Umbria,2024,12.045,-0.8292186697615878,0.20833333333333334,recovery
ITF2,Molise,2024,7.931,-0.8855214341428806,0.16666666666666666,recovery
ITD1,Provincia Autonoma Bolzano / Bozen,2024,7.107,-0.8967984097992212,0.125,recovery
ITD2,Provincia Autonoma Trento,2024,6.295,-0.9079111576547413,0.08333333333333333,recovery
ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",2024,1.852,-0.9687165009085292,0.041666666666666664,recovery
