year,region,school,students,expenditure_euro,graduation_rate
2020,Lazio,School_1,202,196867,0.98
2020,Lazio,School_2,206,169879,0.87
2020,Lazio,School_3,714,187337,0.75
2020,Lazio,School_4,430,137498,0.95
2020,Lazio,School_5,199,241335,0.91
2020,Lazio,School_6,761,114820,0.98
2020,Lazio,School_7,591,377069,0.76
2020,Lazio,School_8,291,153355,0.75
2020,Lazio,School_9,559,397449,0.85
2020,Lazio,School_10,847,442752,0.85
2020,Lombardia,School_1,610,434681,0.71
2020,Lombardia,School_2,799,173855,0.77
2020,Lombardia,School_3,786,478989,0.76
2020,Lombardia,School_4,666,378947,0.87
2020,Lombardia,School_5,230,381236,0.88
2020,Lombardia,School_6,120,306840,0.72
2020,Lombardia,School_7,487,320936,0.98
2020,Lombardia,School_8,341,224073,0.79
2020,Lombardia,School_9,664,302801,0.9
2020,Lombardia,School_10,466,204555,0.74
2020,Campania,School_1,608,329303,0.71
2020,Campania,School_2,305,348064,0.78
2020,Campania,School_3,971,331601,0.82
2020,Campania,School_4,665,391097,0.86
2020,Campania,School_5,576,488974,0.94
2020,Campania,School_6,655,246769,0.81
2020,Campania,School_7,369,475822,0.97
2020,Campania,School_8,555,90397,0.76
2020,Campania,School_9,801,105591,0.94
2020,Campania,School_10,848,132798,0.94
2020,Sicilia,School_1,316,267851,0.88
2020,Sicilia,School_2,592,286584,0.79
2020,Sicilia,School_3,912,426896,0.7
2020,Sicilia,School_4,620,170151,0.81
2020,Sicilia,School_5,747,174375,0.7
2020,Sicilia,School_6,598,351648,0.91
2020,Sicilia,School_7,518,179312,0.88
2020,Sicilia,School_8,589,338998,0.89
2020,Sicilia,School_9,127,334806,0.95
2020,Sicilia,School_10,879,425713,0.73
2020,Veneto,School_1,602,347366,0.89
2020,Veneto,School_2,904,323109,0.96
2020,Veneto,School_3,838,425396,0.98
2020,Veneto,School_4,742,234064,0.91
2020,Veneto,School_5,602,450126,0.77
2020,Veneto,School_6,894,169176,0.91
2020,Veneto,School_7,957,172409,0.83
2020,Veneto,School_8,790,295310,0.96
2020,Veneto,School_9,340,157059,0.86
2020,Veneto,School_10,999,461357,0.74
2021,Lazio,School_1,330,499260,0.86
2021,Lazio,School_2,640,214899,0.97
2021,Lazio,School_3,938,387594,0.9
2021,Lazio,School_4,895,93585,0.88
2021,Lazio,School_5,673,492296,0.73
2021,Lazio,School_6,895,407403,0.76
2021,Lazio,School_7,439,492141,0.96
2021,Lazio,School_8,739,338249,0.74
2021,Lazio,School_9,572,94262,0.96
2021,Lazio,School_10,484,178376,0.89
2021,Lombardia,School_1,732,142787,0.8
2021,Lombardia,School_2,358,71959,0.85
2021,Lombardia,School_3,417,315892,0.9
2021,Lombardia,School_4,333,439803,0.77
2021,Lombardia,School_5,926,405701,0.76
2021,Lombardia,School_6,571,118840,0.82
2021,Lombardia,School_7,929,489792,0.77
2021,Lombardia,School_8,367,364877,0.9
2021,Lombardia,School_9,486,466880,0.74
2021,Lombardia,School_10,180,296458,0.88
2021,Campania,School_1,741,162859,0.71
2021,Campania,School_2,835,319536,0.88
2021,Campania,School_3,737,268164,0.84
2021,Campania,School_4,771,207381,0.77
2021,Campania,School_5,935,233734,0.92
2021,Campania,School_6,222,455904,0.91
2021,Campania,School_7,379,418452,0.88
2021,Campania,School_8,297,139045,0.86
2021,Campania,School_9,851,72671,0.94
2021,Campania,School_10,223,136202,0.75
2021,Sicilia,School_1,448,404050,0.87
2021,Sicilia,School_2,502,436393,0.85
2021,Sicilia,School_3,246,192483,0.89
2021,Sicilia,School_4,919,451896,0.9
2021,Sicilia,School_5,739,269686,0.97
2021,Sicilia,School_6,740,182874,0.8
2021,Sicilia,School_7,572,424705,0.97
2021,Sicilia,School_8,397,80306,0.77
2021,Sicilia,School_9,243,408745,0.98
2021,Sicilia,School_10,671,423616,0.77
2021,Veneto,School_1,403,425037,0.96
2021,Veneto,School_2,136,341999,0.88
2021,Veneto,School_3,108,319544,0.8
2021,Veneto,School_4,915,494623,0.96
2021,Veneto,School_5,251,433029,0.93
2021,Veneto,School_6,727,193946,0.97
2021,Veneto,School_7,519,234423,0.88
2021,Veneto,School_8,326,438207,0.73
2021,Veneto,School_9,198,183272,0.7
2021,Veneto,School_10,995,333501,0.86
2022,Lazio,School_1,921,307186,0.89
2022,Lazio,School_2,780,144179,0.91
2022,Lazio,School_3,900,403556,0.75
2022,Lazio,School_4,603,465615,0.92
2022,Lazio,School_5,294,136416,0.79
2022,Lazio,School_6,787,251163,0.85
2022,Lazio,School_7,569,331974,0.77
2022,Lazio,School_8,769,97333,0.81
