,,importo_euro,importo_euro,codice_ente
,,sum,count,nunique
anno,mese,,,
2020,07,1909095.45,718,68
2020,08,1686675.0,1159,74
2020,09,2180984.19,1506,74
2020,10,4087007.16,1894,74
2020,11,5000261.95,2276,75
2020,12,6607956.3,2697,76
2020,mese,0.0,0,1
2021,01,2718731.93,914,73
2021,02,3516826.55,1673,76
2021,03,4301825.49,2072,76
2021,04,3130662.7,2299,76
2021,05,3510367.0,2473,76
2021,06,3366208.64,2615,76
2021,07,3764521.24,2775,80
2021,08,1877450.26,2890,80
2021,09,1617931.23,2999,80
2021,10,2858811.2,3160,80
2021,11,4140571.0,3320,80
2021,12,6767379.09,3525,80
2021,mese,0.0,0,1
2022,01,2910048.38,1039,78
2022,02,3615931.65,1736,81
2022,03,4526711.88,2159,81
2022,04,3643581.4,2371,81
2022,05,5278017.99,2618,81
2022,06,5189370.42,2809,81
2022,07,4803204.2,2969,83
2022,08,2764608.04,3149,94
2022,09,2419466.89,3297,94
2022,10,3556003.16,3563,102
2022,11,6279373.1,3900,104
2022,12,7008697.01,4246,104
2022,mese,0.0,0,1
2023,01,4165967.32,1472,124
2023,02,5827206.57,2595,132
2023,03,8072227.26,3441,157
2023,04,7232207.57,3978,158
2023,05,10611977.16,4639,189
2023,06,11789950.78,5440,215
2023,07,10228341.52,6153,231
2023,08,6584288.33,6553,242
2023,09,5782408.0,6830,244
2023,10,11483682.24,7607,275
2023,11,19527411.31,9036,331
2023,12,23756725.74,10998,387
2023,mese,0.0,0,1
2024,1,3991549.13,1381,370
2024,2,8039190.67,2717,459
2024,3,10273072.79,3491,529
2024,4,10372199.99,4272,596
2024,5,11917445.35,5072,642
2024,6,12381871.83,5755,695
2024,7,14123070.38,6754,820
2024,8,8811969.92,7234,862
2024,9,6745728.57,7716,896
2024,10,11839153.24,8625,958
2024,11,10859362.42,9497,1029
2024,12,17927059.17,10914,1066
2024,01,7596356.79,2498,404
2024,02,15493552.040000001,4640,472
2024,03,18187793.09,6403,535
2024,04,18713451.42,7684,605
2024,05,22042626.05,8860,646
2024,06,22186704.49,10201,703
2024,07,23917502.39,12075,829
2024,08,16070780.47,13018,868
2024,09,12465639.73,13704,902
2024,10,20048268.67,15243,964
2024,11,22614510.99,17115,1035
2024,12,30403885.830000002,19630,1071
2024,mese,0.0,0,1
2025,1,14162512.72,5795,997
2025,2,30923383.01,11016,1111
2025,3,42057742.07,14512,1187
2025,4,44751929.54,17359,1296
2025,5,40267931.18,19532,1345
2025,6,48020375.15,21543,1386
2025,7,47915611.73,23444,1421
2025,8,22714064.95,24106,1435
2025,9,20816530.45,24987,1442
2025,10,33766660.35,26875,1512
2025,11,35734034.46,29026,1591
2025,12,52509249.36,31772,1633
2025,01,8122418.57,2937,898
2025,02,15828367.04,5894,1094
2025,03,21114001.74,7550,1180
2025,04,21223729.919999998,8953,1280
2025,05,22674148.04,10269,1335
2025,06,25410724.96,11362,1378
2025,07,24998071.06,12218,1417
2025,08,11701279.7,12769,1428
2025,09,10945782.14,13202,1440
2025,10,15988310.76,13965,1505
2025,11,19061117.48,15195,1583
2025,12,27685484.75,16757,1632
2025,mese,0.0,0,1
2026,01,29905799.6,13118,1574
2026,02,62770652.9,24629,1703
2026,03,96498461.37,32685,1828
2026,04,84840671.81,38609,1902
2026,mese,0.0,0,1
