codice_ente,anno,importo_euro,codice_regione,codice_provincia,codice_comune,denominazione,mese
41456,2024,9292.64,11.0,53.0,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,2
41456,2025,793609.31,11.0,53.0,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,12
96977,2024,90219.69,3.0,6.0,N.A.,ISTITUTO TECNICO INDUSTRIALE STATALE ALESSANDRO VOLTA,3
96977,2025,572975.34,3.0,6.0,N.A.,ISTITUTO TECNICO INDUSTRIALE STATALE ALESSANDRO VOLTA,12
110953,2025,225432.24,21.0,25.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE PROFESSIONALE ANTONIO DELLA LUCIA,3
700107,2025,164707.36,6.0,25.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE SEGATO,8
702169,2025,332169.49,44.0,41.0,N.A.,ISTITUTO PROFESSIONALE DI STATO PER L'INDUSTRIA E L'ARTIGIANATO G. BENELLI,9
702315,2024,120182.63,21.0,81.0,N.A.,"ISTITUTO ISTRUZIONE SECONDARIA SUPERIORE """"L. DA VINCI"""" TRAPANI",8
702315,2025,404407.15,21.0,81.0,N.A.,"ISTITUTO ISTRUZIONE SECONDARIA SUPERIORE """"L. DA VINCI"""" TRAPANI",12
702480,2024,12371.82,32.0,33.0,N.A.,ISTITUTO SUPERIORE G. RAINERI,2
702480,2025,395713.57,32.0,33.0,N.A.,ISTITUTO SUPERIORE G. RAINERI,12
706408,2024,70144.78,60.0,28.0,N.A.,ISTITUTO TECNICO INDUSTRIALE ITI MARCONI PADOVA,6
706408,2025,352251.18,60.0,28.0,N.A.,ISTITUTO TECNICO INDUSTRIALE ITI MARCONI PADOVA,12
706971,2024,46624.42,86.0,26.0,N.A.,LICEO ARTISTICO STATALE DI TREVISO,9
706971,2025,346232.14,86.0,26.0,N.A.,LICEO ARTISTICO STATALE DI TREVISO,12
707695,2024,58811.149999999994,34.0,42.0,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE LAENG - MEUCCI,1
