codice_ente,anno,importo_euro,codice_regione,codice_provincia,codice_comune,denominazione,mese
41456,2020,120000.50,11,53,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,12
41456,2021,210000.70,11,53,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,12
41456,2022,250000.20,11,53,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,12
41456,2023,360000.10,11,53,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,12
41456,2024,410000.00,11,53,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,12
41456,2025,793609.31,11,53,N.A.,ISTITUTO ISTRUZIONE SUPERIORE LEOPOLDO II DI LORENA,12
96977,2020,98000.00,10,39,N.A.,LICEO TORRICELLI BALLARDINI,11
96977,2021,130500.90,10,39,N.A.,LICEO TORRICELLI BALLARDINI,11
96977,2022,154320.40,10,39,N.A.,LICEO TORRICELLI BALLARDINI,11
96977,2023,188009.11,10,39,N.A.,LICEO TORRICELLI BALLARDINI,11
96977,2024,205800.20,10,39,N.A.,LICEO TORRICELLI BALLARDINI,11
96977,2025,260420.50,10,39,N.A.,LICEO TORRICELLI BALLARDINI,11
12520781,2020,112340.32,12,31,N.A.,LICEO STATALE SALVATORE QUASIMODO,10
12520781,2021,139900.77,12,31,N.A.,LICEO STATALE SALVATORE QUASIMODO,10
12520781,2022,150050.20,12,31,N.A.,LICEO STATALE SALVATORE QUASIMODO,10
12520781,2023,182760.55,12,31,N.A.,LICEO STATALE SALVATORE QUASIMODO,10
12520781,2024,216300.89,12,31,N.A.,LICEO STATALE SALVATORE QUASIMODO,10
12520781,2025,244110.10,12,31,N.A.,LICEO STATALE SALVATORE QUASIMODO,10
7544453,2025,190220.33,4,38,N.A.,ISTITUTO DI ISTRUZIONE SUPERIORE G ASPRONI,9
28835860,2025,171330.45,28,23,N.A.,ISTITUTO COMPRENSIVO 01 SAN BONIFACIO,9
