school_type,academic_year,codice_istituto,rows,avg_score,min_score,low_score_rows,weak_score_rows,proxy_rows,keyword_hits,proxy_rate,school_proxy_flag
paritaria,2015/16,AV1E007009,4,4.25,2,1,1,3,4,0.75,True
paritaria,2015/16,FI1E00700X,4,6.5,6,0,0,3,3,0.75,True
paritaria,2015/16,GEPS035006,4,3.5,2,1,1,3,4,0.75,True
paritaria,2015/16,LI1E001002,4,3.0,1,3,3,3,0,0.75,True
paritaria,2015/16,MI1M10000T,4,3.5,2,1,2,3,4,0.75,True
paritaria,2015/16,MISL04500B,4,5.25,2,1,1,3,2,0.75,True
paritaria,2015/16,MITD145007,4,3.25,2,2,2,3,1,0.75,True
paritaria,2015/16,NA1M05700A,4,2.75,2,2,3,3,3,0.75,True
paritaria,2015/16,PATD34500B,4,3.0,2,1,3,3,3,0.75,True
paritaria,2015/16,PZTL005006,4,1.5,1,3,4,3,0,0.75,True
paritaria,2015/16,RCTD1B500I,4,2.25,1,2,3,3,1,0.75,True
paritaria,2015/16,RMPS00500L,4,3.0,2,2,3,3,2,0.75,True
paritaria,2015/16,SS1E00400L,4,3.5,1,2,2,3,1,0.75,True
paritaria,2015/16,AGTL415001,4,3.75,1,1,1,2,1,0.5,True
paritaria,2015/16,ANPS00500T,4,3.5,2,2,2,2,0,0.5,True
paritaria,2015/16,BAPC9L500S,4,4.5,2,1,1,2,1,0.5,True
paritaria,2015/16,BG1E01700E,4,3.25,1,2,2,2,0,0.5,True
paritaria,2015/16,BGPS095001,4,4.5,2,1,1,2,1,0.5,True
paritaria,2015/16,BL1M00200L,4,5.25,4,0,0,2,5,0.5,True
paritaria,2015/16,BNPC02500R,4,4.5,2,1,1,2,1,0.5,True
paritaria,2015/16,BO1E00100V,4,4.75,2,1,1,2,2,0.5,True
paritaria,2015/16,BO1E005006,4,5.25,4,0,0,2,4,0.5,True
paritaria,2015/16,BO1E00900D,4,6.0,5,0,0,2,2,0.5,True
paritaria,2015/16,BO1M007003,4,5.0,2,1,1,2,1,0.5,True
paritaria,2015/16,BO1M01000V,4,5.25,4,0,0,2,4,0.5,True
paritaria,2015/16,BR1E006005,4,4.75,1,1,1,2,1,0.5,True
paritaria,2015/16,BS1E008008,4,6.0,5,0,0,2,2,0.5,True
paritaria,2015/16,BS1M01400R,4,6.0,6,0,0,2,2,0.5,True
paritaria,2015/16,BSTF005004,4,3.75,1,2,2,2,0,0.5,True
paritaria,2015/16,CA1E019002,4,4.0,1,1,1,2,1,0.5,True
paritaria,2015/16,CAPCVV5005,4,3.0,1,2,2,2,0,0.5,True
paritaria,2015/16,CE1E05500G,4,5.0,2,1,1,2,3,0.5,True
paritaria,2015/16,CETD10500C,4,2.0,1,2,4,2,0,0.5,True
paritaria,2015/16,CHTD035004,4,3.0,1,1,3,2,1,0.5,True
paritaria,2015/16,CNPSNL5009,4,4.5,2,1,1,2,1,0.5,True
paritaria,2015/16,CRPM00500C,4,5.25,4,0,0,2,2,0.5,True
paritaria,2015/16,CRPS02500L,4,6.5,6,0,0,2,4,0.5,True
paritaria,2015/16,CT1E009004,4,3.0,1,1,2,2,1,0.5,True
paritaria,2015/16,CTTD32500N,4,4.75,2,1,1,2,1,0.5,True
paritaria,2015/16,CZ1E00400N,4,5.0,2,1,1,2,1,0.5,True
paritaria,2015/16,FG1E015006,4,5.75,4,0,0,2,2,0.5,True
paritaria,2015/16,FGTD095004,4,3.0,2,1,3,2,2,0.5,True
paritaria,2015/16,FIPSCR500M,4,3.0,1,1,2,2,1,0.5,True
paritaria,2015/16,GE1E019003,4,5.25,5,0,0,2,2,0.5,True
paritaria,2015/16,LI1E00800R,4,5.0,2,1,1,2,1,0.5,True
paritaria,2015/16,LTTD01500X,4,3.0,2,1,3,2,1,0.5,True
paritaria,2015/16,LU1E002008,4,4.0,2,1,1,2,1,0.5,True
paritaria,2015/16,MIPC215009,4,4.5,2,1,1,2,2,0.5,True
paritaria,2015/16,MIPL075005,4,4.25,1,1,1,2,2,0.5,True
paritaria,2015/16,MTPM01500P,4,4.25,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1E04200B,4,4.75,2,1,1,2,3,0.5,True
paritaria,2015/16,NA1E05900R,4,4.5,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1E06700Q,4,4.5,3,0,1,2,2,0.5,True
paritaria,2015/16,NA1E06800G,4,3.5,2,2,2,2,0,0.5,True
paritaria,2015/16,NA1E07500P,4,4.25,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1E086005,4,6.75,6,0,0,2,2,0.5,True
paritaria,2015/16,NA1E10300N,4,3.25,1,2,2,2,0,0.5,True
paritaria,2015/16,NA1E114004,4,3.25,2,1,3,2,1,0.5,True
paritaria,2015/16,NA1E12000B,4,3.75,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1E13800L,4,3.5,3,0,2,2,2,0.5,True
paritaria,2015/16,NA1E14700B,4,4.5,3,0,2,2,2,0.5,True
paritaria,2015/16,NA1E18700T,2,4.5,4,0,0,1,1,0.5,True
paritaria,2015/16,NA1E21100D,4,4.0,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1E23100P,4,4.5,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1E25700V,4,4.5,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1E26500T,4,5.75,2,1,1,2,1,0.5,True
paritaria,2015/16,NA1M024003,4,5.5,5,0,0,2,4,0.5,True
paritaria,2015/16,NAPSF2500E,4,4.75,2,1,1,2,1,0.5,True
paritaria,2015/16,NATFLC500I,4,3.0,2,2,3,2,0,0.5,True
paritaria,2015/16,PC1E001007,4,3.5,1,2,2,2,0,0.5,True
paritaria,2015/16,PCPQ145008,4,3.0,1,1,2,2,1,0.5,True
paritaria,2015/16,PD1E01500Q,4,5.5,4,0,0,2,2,0.5,True
paritaria,2015/16,PRPM015008,4,4.0,2,1,1,2,3,0.5,True
paritaria,2015/16,PRTD02500N,4,3.25,1,1,2,2,1,0.5,True
paritaria,2015/16,PV1M00500T,4,5.25,4,0,0,2,2,0.5,True
paritaria,2015/16,PV1M00600N,4,6.5,6,0,0,2,4,0.5,True
paritaria,2015/16,RC1E00700X,4,5.5,4,0,0,2,4,0.5,True
paritaria,2015/16,RM1E15800R,4,5.75,4,0,0,2,2,0.5,True
paritaria,2015/16,RM1M08300T,4,6.25,5,0,0,2,2,0.5,True
paritaria,2015/16,RMPL135004,4,5.0,4,0,0,2,4,0.5,True
paritaria,2015/16,RMPS455005,4,3.25,2,1,2,2,3,0.5,True
paritaria,2015/16,SAPC025006,4,3.25,2,1,3,2,1,0.5,True
paritaria,2015/16,SATD075006,4,5.0,3,0,1,2,2,0.5,True
paritaria,2015/16,SOPSQG500F,4,5.25,5,0,0,2,4,0.5,True
paritaria,2015/16,SRPC005003,4,5.25,4,0,0,2,2,0.5,True
paritaria,2015/16,TA1M00100T,4,5.0,2,1,1,2,3,0.5,True
paritaria,2015/16,TA1M00300D,4,5.25,2,1,1,2,3,0.5,True
paritaria,2015/16,TO1E04200T,4,5.5,5,0,0,2,4,0.5,True
paritaria,2015/16,TO1M02900L,4,5.0,5,0,0,2,2,0.5,True
paritaria,2015/16,TO1M048002,4,5.5,4,0,0,2,4,0.5,True
paritaria,2015/16,TO1M05200N,4,4.75,4,0,0,2,5,0.5,True
