CODICE_SCUOLA,REGIONE,PROVINCIA,MACRO_AREA,TRACK_TYPE,RAV_BETWEEN_CLASS_VARIANCE_PCT,VOLUNTARY_FAMILY_CONTRIBUTION_PER_STUDENT,DIGITAL_LAB_INDEX,TERTIARY_CONTINUATION_RATE_PCT,EARLY_DROPOUT_RATE_PCT
GEIS00000,Liguria,Genova,Nord,Liceo,2.2,148,87.9,92.4,1.1
TRIS00001,Friuli Venezia Giulia,Trieste,Nord,Tecnico,15.9,52,76.4,44.2,4.6
TRIS00002,Friuli Venezia Giulia,Trieste,Nord,Professionale,26.6,45,63.4,24.3,7.7
MIIS00003,Lombardia,Milano,Nord,Liceo,6.2,154,87.0,94.6,0.7
BRIS00004,Lombardia,Brescia,Nord,Tecnico,11.0,92,84.1,54.5,5.1
TRIS00005,Friuli Venezia Giulia,Trieste,Nord,Professionale,29.7,33,66.0,29.6,9.7
TOIS00006,Piemonte,Torino,Nord,Liceo,6.2,125,88.0,87.9,0.4
VEIS00007,Veneto,Venezia,Nord,Tecnico,13.8,73,87.5,42.9,3.7
GEIS00008,Liguria,Genova,Nord,Professionale,26.4,44,56.4,26.9,9.2
VEIS00009,Veneto,Venezia,Nord,Liceo,4.8,147,97.0,91.9,0.6
TOIS00010,Piemonte,Torino,Nord,Tecnico,12.3,52,79.7,44.8,3.2
TRIS00011,Friuli Venezia Giulia,Trieste,Nord,Professionale,20.6,37,72.7,27.0,6.9
VEIS00012,Veneto,Venezia,Nord,Liceo,6.5,174,94.7,89.3,1.0
TOIS00013,Piemonte,Torino,Nord,Tecnico,20.0,57,82.4,53.6,5.5
VEIS00014,Veneto,Venezia,Nord,Professionale,27.5,35,56.3,23.3,12.0
TRIS00015,Friuli Venezia Giulia,Trieste,Nord,Liceo,7.8,206,85.1,92.2,1.1
TRIS00016,Friuli Venezia Giulia,Trieste,Nord,Tecnico,17.7,67,79.4,42.8,2.5
GEIS00017,Liguria,Genova,Nord,Professionale,29.7,47,65.2,19.5,9.8
FIIS00018,Toscana,Firenze,Centro,Liceo,8.7,73,89.1,87.0,3.3
ANIS00019,Marche,Ancona,Centro,Tecnico,14.2,62,75.6,45.0,5.5
ROIS00020,Lazio,Roma,Centro,Professionale,30.8,29,41.9,15.8,9.5
FIIS00021,Toscana,Firenze,Centro,Liceo,11.6,136,73.3,81.9,2.5
FIIS00022,Toscana,Firenze,Centro,Tecnico,21.1,41,71.4,36.7,8.5
PEIS00023,Umbria,Perugia,Centro,Professionale,24.5,11,40.5,16.6,13.1
ROIS00024,Lazio,Roma,Centro,Liceo,12.1,65,71.3,75.4,1.8
FIIS00025,Toscana,Firenze,Centro,Tecnico,20.7,34,60.6,46.8,6.9
PEIS00026,Umbria,Perugia,Centro,Professionale,29.8,26,44.2,11.2,12.0
PEIS00027,Umbria,Perugia,Centro,Liceo,9.7,118,83.5,87.8,1.2
CAIS00028,Sicilia,Catania,Sud,Tecnico,27.6,10,39.4,25.7,8.1
LEIS00029,Puglia,Lecce,Sud,Professionale,31.0,16,24.0,13.9,22.6
NAIS00030,Campania,Napoli,Sud,Liceo,17.1,39,45.4,57.1,6.6
BAIS00031,Puglia,Bari,Sud,Tecnico,22.9,19,54.9,33.0,8.3
SAIS00032,Campania,Salerno,Sud,Professionale,28.4,15,33.8,9.7,23.6
CAIS00033,Molise,Campobasso,Sud,Liceo,10.2,28,71.2,68.3,5.5
POIS00034,Basilicata,Potenza,Sud,Tecnico,18.7,21,46.6,32.1,8.3
CAIS00035,Sardegna,Cagliari,Sud,Professionale,36.1,6,23.8,14.5,18.0
CAIS00036,Sardegna,Cagliari,Sud,Liceo,16.1,17,47.2,70.1,5.6
REIS00037,Calabria,Reggio Calabria,Sud,Tecnico,20.5,24,40.5,22.9,12.4
REIS00038,Calabria,Reggio Calabria,Sud,Professionale,29.1,15,23.9,10.0,24.0
NAIS00039,Campania,Napoli,Sud,Liceo,15.5,38,48.6,63.0,2.9
LEIS00040,Puglia,Lecce,Sud,Tecnico,21.4,18,47.5,21.1,14.9
CAIS00041,Molise,Campobasso,Sud,Professionale,33.7,12,46.2,6.1,22.8
COIS00042,Calabria,Cosenza,Sud,Liceo,20.5,48,49.2,61.5,3.7
COIS00043,Calabria,Cosenza,Sud,Tecnico,26.2,27,46.6,20.0,14.3
NAIS00044,Campania,Napoli,Sud,Professionale,33.2,16,23.1,8.7,15.3
COIS00045,Calabria,Cosenza,Sud,Liceo,18.4,40,56.5,55.2,2.9
POIS00046,Basilicata,Potenza,Sud,Tecnico,24.5,26,48.4,18.0,8.0
REIS00047,Calabria,Reggio Calabria,Sud,Professionale,36.7,15,44.4,14.9,16.1
BAIS00048,Puglia,Bari,Sud,Liceo,13.0,40,68.6,77.4,6.6
BAIS00049,Puglia,Bari,Sud,Tecnico,29.7,26,55.3,15.5,12.9
