Regione,Macroarea,agcom_istat_famiglie_con_minori_senza_pc_o_bandalarga_ultraveloce_pct,istat_desi_quota_minori_16_19_con_competenze_digitali_insufficienti_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,10.9,20.7,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
VALLE D'AOSTA,Nord-Ovest,10.4,25.5,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
LOMBARDIA,Nord-Ovest,11.4,34.9,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
TRENTINO-ALTO ADIGE,Nord-Est,17.0,28.2,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
VENETO,Nord-Est,16.3,27.2,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
FRIULI-VENEZIA GIULIA,Nord-Est,15.1,25.9,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
LIGURIA,Nord-Ovest,13.4,29.1,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
EMILIA-ROMAGNA,Nord-Est,14.6,22.5,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
TOSCANA,Centro,18.4,30.1,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
UMBRIA,Centro,13.2,29.2,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
MARCHE,Centro,13.2,31.8,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
LAZIO,Centro,17.6,33.2,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
ABRUZZO,Sud,28.8,48.9,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
MOLISE,Sud,27.1,44.6,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
CAMPANIA,Sud,27.3,45.4,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
PUGLIA,Sud,26.4,45.3,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
BASILICATA,Sud,27.7,47.8,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
CALABRIA,Sud,29.7,47.9,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
SICILIA,Isole,32.4,46.5,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
SARDEGNA,Isole,27.2,50.8,AGCOM Osservatorio Comunicazioni / ISTAT Indagine Famiglie Cittadini e ICT (DESI),Misura l'esclusione tecnologica familiare che amplifica le disuguaglianze di apprendimento a distanza e nello studio.
