Regione,Macroarea,almalaurea_premio_salariale_laurea_vs_diploma_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,38.7,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,36.6,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,38.8,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,35.5,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,40.3,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,35.4,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,39.3,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,37.7,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,34.4,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,30.2,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,33.6,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,33.8,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,29.5,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,28.4,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,29.4,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,27.5,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,28.6,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,27.9,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,28.6,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,26.5,AlmaLaurea Premio Retributivo Laurea,Verificato e Certificato - Osservatorio Italienation
