Regione,Macroarea,almalaurea_tasso_occupazione_3anni_laurea_magistrale_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,88.0,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,94.2,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,96.7,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,84.1,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,88.7,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,87.6,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,91.1,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,93.2,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,88.4,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,80.5,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,88.7,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,80.8,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,74.2,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,77.5,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,72.4,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,73.4,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,76.2,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,73.3,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,69.0,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,74.6,Consorzio AlmaLaurea,Verificato e Certificato - Osservatorio Italienation
