Regione,mesi_attesa_primo_lavoro_qualsiasi_diploma,mesi_attesa_primo_lavoro_qualsiasi_laurea,mesi_attesa_primo_contratto_stabile_diploma,mesi_attesa_primo_contratto_stabile_laurea,note_scientifiche
PIEMONTE,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
VALLE D'AOSTA,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
LOMBARDIA,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
TRENTINO-ALTO ADIGE,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
VENETO,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
FRIULI VENEZIA GIULIA,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
LIGURIA,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
EMILIA ROMAGNA,8.4,3.8,28.5,18.2,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
TOSCANA,11.2,5.4,38.4,24.8,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
UMBRIA,11.2,5.4,38.4,24.8,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
MARCHE,11.2,5.4,38.4,24.8,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
LAZIO,11.2,5.4,38.4,24.8,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
ABRUZZO,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
MOLISE,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
CAMPANIA,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
PUGLIA,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
BASILICATA,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
CALABRIA,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
SICILIA,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
SARDEGNA,18.5,9.2,54.2,38.6,"La transizione verso la stabilità contrattuale richiede in media da 2 a 4.5 anni dal conseguimento del titolo, con un differenziale geografico netto tra Nord e Sud."
