Regione,Macroarea,almalaurea_quota_immatricolati_migrati_fuori_regione_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,6.0,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,6.3,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,5.8,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,6.4,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,6.1,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,5.6,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,6.2,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,6.2,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,13.7,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,15.2,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,13.9,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,15.3,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,27.3,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,27.0,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,26.4,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,27.1,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,30.1,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,27.9,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,28.2,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,28.5,AlmaLaurea Mobilità Studentesca Sud-Nord,Verificato e Certificato - Osservatorio Italienation
