regione,under_30_hiring_tirocinio_extracurricolare_pct,under_30_hiring_apprendistato_pct,under_30_hiring_tempo_indeterminato_pct,under_30_hiring_tempo_determinato_stagionale_pct,precariato_giovanile_index,mean_tirocinio_monthly_reimbursement_eur
PIEMONTE,24.5,31.8,29.2,14.5,39.0,700
VALLE D'AOSTA,24.5,31.8,29.2,14.5,39.0,700
LOMBARDIA,24.5,31.8,29.2,14.5,39.0,700
TRENTINO-ALTO ADIGE,24.5,31.8,29.2,14.5,39.0,700
VENETO,24.5,31.8,29.2,14.5,39.0,700
FRIULI VENEZIA GIULIA,24.5,31.8,29.2,14.5,39.0,700
LIGURIA,24.5,31.8,29.2,14.5,39.0,700
EMILIA ROMAGNA,24.5,31.8,29.2,14.5,39.0,700
TOSCANA,32.0,22.5,24.8,20.700000000000003,52.7,600
UMBRIA,32.0,22.5,24.8,20.700000000000003,52.7,600
MARCHE,32.0,22.5,24.8,20.700000000000003,52.7,600
LAZIO,32.0,22.5,24.8,20.700000000000003,52.7,600
ABRUZZO,24.5,31.8,29.2,14.5,39.0,700
MOLISE,42.5,14.2,18.5,24.799999999999997,67.3,500
CAMPANIA,42.5,14.2,18.5,24.799999999999997,67.3,500
PUGLIA,42.5,14.2,18.5,24.799999999999997,67.3,500
BASILICATA,42.5,14.2,18.5,24.799999999999997,67.3,500
CALABRIA,42.5,14.2,18.5,24.799999999999997,67.3,500
SICILIA,42.5,14.2,18.5,24.799999999999997,67.3,500
SARDEGNA,42.5,14.2,18.5,24.799999999999997,67.3,500
