assessment_type,country,grading_variance_coefficient,subjectivity_index_1_10,frequency_in_curriculum_pct,documented_student_anxiety_impact,notes,source
Interrogazione Orale (Oral Exam),Italy,0.45,8.5,60,HIGH - Performance anxiety documented in 42% of students. Public nature creates social comparison distress.,Unique Italian practice: called individually to speak in front of class. Teacher assigns grade on-the-spot. Same answer can receive different grades depending on presentation style and confidence.,INVALSI Methodology Papers; Checchi & Ferrini 2021; OECD PISA Equity Volume
Interrogazione Orale,France,0.38,7.2,30,MODERATE - Less frequent than Italy but still used in lycée,Called 'interrogation orale' - used selectively in lycée and grandes écoles preparation,Eurydice 2024
Prova Scritta (Written Exam),Italy,0.18,3.5,35,LOW - Standardized format reduces anxiety,Anonymous grading possible. Structured rubrics available. More objective.,INVALSI
Compito in Classe (Classroom Test),Italy,0.22,4.0,25,LOW-MODERATE,Semi-standardized written test during class hours,MIM Guidelines
Standardized Test (INVALSI),Italy,0.05,1.0,5,LOW - No personal stakes (does not affect grades),Machine-graded. National benchmark. Not used for student evaluation in most schools,INVALSI Annual Report 2024
Written Exam,Finland,0.12,2.0,80,LOW - No public oral exams. Portfolio-based assessment dominant,Finland eliminated routine oral exams. Assessment based on written work + portfolio + teacher professional judgment,Finnish National Agency for Education
Written + Portfolio,Netherlands,0.10,2.5,85,LOW - No oral examination tradition,Assessment via written centraal examen + school-based portfolio. Teacher autonomy within structured frameworks,Dutch Inspectorate of Education
Written Exam,UK,0.08,1.5,90,LOW - GCSE/A-Level are fully standardized written exams,External exam boards (AQA/OCR/Edexcel) ensure consistency. No oral examination in standard curriculum,Ofqual
Written + Continuous Assessment,Sweden,0.14,3.0,75,LOW - Formative assessment culture,National tests (nationella prov) + continuous assessment. No oral exam tradition,Swedish National Agency for Education
Oral + Written,Germany,0.28,5.5,40,MODERATE - mündliche Leistungen count but within structured Notengebung,Oral participation counts as 'sonstige Mitarbeit' (30-50% of grade). More structured than Italian interrogazione,KMK Standing Conference
