Regione,Macroarea,bancaditalia_tfp_variazione_cumulata_microimprese_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,-1.2,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,-1.1,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,-1.2,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,-1.2,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,-1.2,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,-1.2,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,-1.2,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,-1.2,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,-2.7,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,-2.8,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,-2.6,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,-2.8,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,-6.4,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,-6.1,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,-6.3,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,-6.8,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,-6.7,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,-6.6,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,-6.5,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,-5.9,Banca d'Italia Contabilità TFP Microimprese,Verificato e Certificato - Osservatorio Italienation
