Regione,Precariousness_Rate,No_Agibilita_Rate,Degrado_Urbano_Rate,NEET_Rate,Structural_Decay_Index,GDP_Per_Capita
BASILICATA,15.93,72.46,0.0,30.7,29.47,25900.0
SARDEGNA,25.27,85.65,0.0,29.2,36.97,24600.0
MOLISE,20.07,53.24,0.0,28.3,24.44,25000.0
SICILIA,19.26,78.62,0.0,28.1,32.63,21200.0
ABRUZZO,24.91,68.55,0.0,27.7,31.15,28600.0
CAMPANIA,16.12,61.91,0.0,27.6,26.01,21800.0
PUGLIA,20.84,71.55,0.0,27.1,30.79,22100.0
CALABRIA,17.1,71.36,0.0,26.1,29.49,19800.0
MARCHE,23.89,50.36,0.0,17.9,24.75,31200.0
LAZIO,24.15,87.69,0.0,17.9,37.28,39800.0
TOSCANA,27.25,62.53,0.0,17.2,29.93,35600.0
UMBRIA,27.36,60.42,0.0,14.7,29.26,28800.0
EMILIA-ROMAGNA,26.97,54.11,0.0,13.4,27.03,40700.0
FRIULI-VENEZIA GIULIA,24.22,47.43,0.0,13.1,23.88,35800.0
PIEMONTE,31.78,46.11,0.0,12.7,25.96,34500.0
LOMBARDIA,29.35,49.93,0.0,11.9,26.42,45900.0
LIGURIA,28.76,68.85,0.0,11.8,32.54,35400.0
VENETO,26.39,46.8,0.0,11.4,24.4,37900.0
