Regione,Macroarea,censis_shiw_propensione_netta_risparmio_familiare_pct,censis_quota_famiglie_ricorso_prestiti_per_spese_educative_universitarie_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,11.3,6.9,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
VALLE D'AOSTA,Nord-Ovest,9.8,5.4,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
LOMBARDIA,Nord-Ovest,9.8,5.1,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
TRENTINO-ALTO ADIGE,Nord-Est,11.9,6.9,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
VENETO,Nord-Est,12.5,6.3,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
FRIULI-VENEZIA GIULIA,Nord-Est,10.3,4.9,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
LIGURIA,Nord-Ovest,12.6,6.1,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
EMILIA-ROMAGNA,Nord-Est,10.9,7.4,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
TOSCANA,Centro,9.2,8.6,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
UMBRIA,Centro,9.3,8.5,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
MARCHE,Centro,9.0,9.7,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
LAZIO,Centro,9.4,8.3,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
ABRUZZO,Sud,4.8,14.1,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
MOLISE,Sud,5.8,15.1,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
CAMPANIA,Sud,5.6,14.0,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
PUGLIA,Sud,5.7,14.3,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
BASILICATA,Sud,5.2,14.1,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
CALABRIA,Sud,3.8,13.6,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
SICILIA,Isole,4.7,16.0,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
SARDEGNA,Isole,5.5,16.0,CENSIS Rapporto sulla Situazione Sociale / Banca d'Italia Bilanci delle Famiglie SHIW,Spiega la fragilità del welfare familiare di fronte allo sforzo finanziario necessario per mantenere i figli all'università.
