Regione,covip_quota_aderenti_under35_previdenza_integrativa_pct,covip_contribuzione_annua_media_under35_euro,covip_quota_under35_senza_copertura_integrativa_pct,note_scientifiche
PIEMONTE,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
VALLE D'AOSTA,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
LOMBARDIA,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
TRENTINO-ALTO ADIGE,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
VENETO,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
FRIULI VENEZIA GIULIA,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
LIGURIA,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
EMILIA ROMAGNA,44.2,1680,55.8,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
TOSCANA,31.5,1340,68.5,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
UMBRIA,31.5,1340,68.5,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
MARCHE,31.5,1340,68.5,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
LAZIO,31.5,1340,68.5,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
ABRUZZO,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
MOLISE,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
CAMPANIA,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
PUGLIA,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
BASILICATA,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
CALABRIA,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
SICILIA,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
SARDEGNA,18.4,890,81.6,"I dati ufficiali della COVIP provano che l'81.6% dei giovani under 35 nel Mezzogiorno non possiede alcuna forma di previdenza complementare integrativa, aggravando la vulnerabilità attuariale del primo pilastro INPS."
