Regione,Macroarea,istat_elet_early_leavers_rate_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,7.8,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,8.5,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,7.9,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,8.5,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,8.3,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,8.3,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,8.7,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,9.0,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,9.9,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,10.2,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,10.4,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,10.7,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,15.7,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,15.9,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,17.7,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,16.5,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,18.4,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,16.0,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,15.8,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,16.1,ISTAT LFS / Eurostat ELET,Verificato e Certificato - Osservatorio Italienation
