school_year_code,school_year,region,order,students_total,disability_rate_per_100_national,estimated_disabled_students,source_school_year
202425,2024/25,ABRUZZO,SCUOLA PRIMARIA,49500,5.1,2524.0,a.s.2022/2023*
202425,2024/25,ABRUZZO,SCUOLA SECONDARIA I GRADO,33024,5.0,1651.0,a.s.2022/2023*
202425,2024/25,ABRUZZO,SCUOLA SECONDARIA II GRADO,55584,3.3,1834.0,a.s.2022/2023*
202425,2024/25,BASILICATA,SCUOLA PRIMARIA,19435,5.1,991.0,a.s.2022/2023*
202425,2024/25,BASILICATA,SCUOLA SECONDARIA I GRADO,12764,5.0,638.0,a.s.2022/2023*
202425,2024/25,BASILICATA,SCUOLA SECONDARIA II GRADO,25746,3.3,850.0,a.s.2022/2023*
202425,2024/25,CALABRIA,SCUOLA PRIMARIA,76503,5.1,3902.0,a.s.2022/2023*
202425,2024/25,CALABRIA,SCUOLA SECONDARIA I GRADO,48988,5.0,2449.0,a.s.2022/2023*
202425,2024/25,CALABRIA,SCUOLA SECONDARIA II GRADO,89802,3.3,2963.0,a.s.2022/2023*
202425,2024/25,CAMPANIA,SCUOLA PRIMARIA,249810,5.1,12740.0,a.s.2022/2023*
202425,2024/25,CAMPANIA,SCUOLA SECONDARIA I GRADO,162995,5.0,8150.0,a.s.2022/2023*
202425,2024/25,CAMPANIA,SCUOLA SECONDARIA II GRADO,318489,3.3,10510.0,a.s.2022/2023*
202425,2024/25,EMILIA ROMAGNA,SCUOLA PRIMARIA,178246,5.1,9091.0,a.s.2022/2023*
202425,2024/25,EMILIA ROMAGNA,SCUOLA SECONDARIA I GRADO,120957,5.0,6048.0,a.s.2022/2023*
202425,2024/25,EMILIA ROMAGNA,SCUOLA SECONDARIA II GRADO,203331,3.3,6710.0,a.s.2022/2023*
202425,2024/25,FRIULI-VENEZIA G.,SCUOLA PRIMARIA,43200,5.1,2203.0,a.s.2022/2023*
202425,2024/25,FRIULI-VENEZIA G.,SCUOLA SECONDARIA I GRADO,29952,5.0,1498.0,a.s.2022/2023*
202425,2024/25,FRIULI-VENEZIA G.,SCUOLA SECONDARIA II GRADO,48946,3.3,1615.0,a.s.2022/2023*
202425,2024/25,LAZIO,SCUOLA PRIMARIA,229262,5.1,11692.0,a.s.2022/2023*
202425,2024/25,LAZIO,SCUOLA SECONDARIA I GRADO,156009,5.0,7800.0,a.s.2022/2023*
202425,2024/25,LAZIO,SCUOLA SECONDARIA II GRADO,260122,3.3,8584.0,a.s.2022/2023*
202425,2024/25,LIGURIA,SCUOLA PRIMARIA,52870,5.1,2696.0,a.s.2022/2023*
202425,2024/25,LIGURIA,SCUOLA SECONDARIA I GRADO,36451,5.0,1823.0,a.s.2022/2023*
202425,2024/25,LIGURIA,SCUOLA SECONDARIA II GRADO,61260,3.3,2022.0,a.s.2022/2023*
202425,2024/25,LOMBARDIA,SCUOLA PRIMARIA,416284,5.1,21230.0,a.s.2022/2023*
202425,2024/25,LOMBARDIA,SCUOLA SECONDARIA I GRADO,280223,5.0,14011.0,a.s.2022/2023*
202425,2024/25,LOMBARDIA,SCUOLA SECONDARIA II GRADO,410907,3.3,13560.0,a.s.2022/2023*
202425,2024/25,MARCHE,SCUOLA PRIMARIA,57253,5.1,2920.0,a.s.2022/2023*
202425,2024/25,MARCHE,SCUOLA SECONDARIA I GRADO,39860,5.0,1993.0,a.s.2022/2023*
202425,2024/25,MARCHE,SCUOLA SECONDARIA II GRADO,72408,3.3,2389.0,a.s.2022/2023*
202425,2024/25,MOLISE,SCUOLA PRIMARIA,10132,5.1,517.0,a.s.2022/2023*
202425,2024/25,MOLISE,SCUOLA SECONDARIA I GRADO,6638,5.0,332.0,a.s.2022/2023*
202425,2024/25,MOLISE,SCUOLA SECONDARIA II GRADO,12574,3.3,415.0,a.s.2022/2023*
202425,2024/25,PIEMONTE,SCUOLA PRIMARIA,161771,5.1,8250.0,a.s.2022/2023*
202425,2024/25,PIEMONTE,SCUOLA SECONDARIA I GRADO,112142,5.0,5607.0,a.s.2022/2023*
202425,2024/25,PIEMONTE,SCUOLA SECONDARIA II GRADO,177428,3.3,5855.0,a.s.2022/2023*
202425,2024/25,PUGLIA,SCUOLA PRIMARIA,154069,5.1,7858.0,a.s.2022/2023*
202425,2024/25,PUGLIA,SCUOLA SECONDARIA I GRADO,103814,5.0,5191.0,a.s.2022/2023*
202425,2024/25,PUGLIA,SCUOLA SECONDARIA II GRADO,188345,3.3,6215.0,a.s.2022/2023*
202425,2024/25,SARDEGNA,SCUOLA PRIMARIA,52044,5.1,2654.0,a.s.2022/2023*
202425,2024/25,SARDEGNA,SCUOLA SECONDARIA I GRADO,36968,5.0,1848.0,a.s.2022/2023*
202425,2024/25,SARDEGNA,SCUOLA SECONDARIA II GRADO,67379,3.3,2224.0,a.s.2022/2023*
202425,2024/25,SICILIA,SCUOLA PRIMARIA,206728,5.1,10543.0,a.s.2022/2023*
202425,2024/25,SICILIA,SCUOLA SECONDARIA I GRADO,133594,5.0,6680.0,a.s.2022/2023*
202425,2024/25,SICILIA,SCUOLA SECONDARIA II GRADO,226738,3.3,7482.0,a.s.2022/2023*
202425,2024/25,TOSCANA,SCUOLA PRIMARIA,136694,5.1,6971.0,a.s.2022/2023*
202425,2024/25,TOSCANA,SCUOLA SECONDARIA I GRADO,95455,5.0,4773.0,a.s.2022/2023*
202425,2024/25,TOSCANA,SCUOLA SECONDARIA II GRADO,166263,3.3,5487.0,a.s.2022/2023*
202425,2024/25,UMBRIA,SCUOLA PRIMARIA,31976,5.1,1631.0,a.s.2022/2023*
202425,2024/25,UMBRIA,SCUOLA SECONDARIA I GRADO,22577,5.0,1129.0,a.s.2022/2023*
202425,2024/25,UMBRIA,SCUOLA SECONDARIA II GRADO,39585,3.3,1306.0,a.s.2022/2023*
202425,2024/25,VENETO,SCUOLA PRIMARIA,192315,5.1,9808.0,a.s.2022/2023*
202425,2024/25,VENETO,SCUOLA SECONDARIA I GRADO,132475,5.0,6624.0,a.s.2022/2023*
202425,2024/25,VENETO,SCUOLA SECONDARIA II GRADO,207753,3.3,6856.0,a.s.2022/2023*
