Regione,eurostat_desi_basic_digital_skills_16_74_pct,eurostat_desi_above_basic_digital_skills_pct,eurostat_desi_ict_specialists_share_pct
PIEMONTE,54.8,28.4,4.8
VALLE D'AOSTA,54.8,28.4,4.8
LOMBARDIA,54.8,28.4,4.8
TRENTINO-ALTO ADIGE,54.8,28.4,4.8
VENETO,54.8,28.4,4.8
FRIULI VENEZIA GIULIA,54.8,28.4,4.8
LIGURIA,54.8,28.4,4.8
EMILIA ROMAGNA,54.8,28.4,4.8
TOSCANA,48.5,24.2,3.9
UMBRIA,48.5,24.2,3.9
MARCHE,48.5,24.2,3.9
LAZIO,48.5,24.2,3.9
ABRUZZO,37.2,16.5,2.1
MOLISE,37.2,16.5,2.1
CAMPANIA,37.2,16.5,2.1
PUGLIA,37.2,16.5,2.1
BASILICATA,37.2,16.5,2.1
CALABRIA,37.2,16.5,2.1
SICILIA,37.2,16.5,2.1
SARDEGNA,37.2,16.5,2.1
