Regione,Macroarea,eurostat_divario_neet_femminile_vs_maschile_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,4.0,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,4.6,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,3.9,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,4.4,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,4.5,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,4.1,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,4.2,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,4.4,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,6.4,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,5.9,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,5.4,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,6.1,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,12.1,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,10.8,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,10.8,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,11.1,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,10.8,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,11.0,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,11.6,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,12.6,Eurostat NEET Gender Gap,Verificato e Certificato - Osservatorio Italienation
