Regione,Macroarea,eurostat_spesa_pubblica_istruzione_su_pil_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,3.9,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,4.0,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,3.9,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,3.8,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,4.5,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,3.8,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,4.2,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,4.1,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,4.0,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,3.7,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,4.0,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,4.0,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,3.6,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,4.1,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,4.1,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,3.8,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,4.0,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,4.1,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,3.7,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,4.4,Eurostat COFOG Spesa Istruzione/PIL,Verificato e Certificato - Osservatorio Italienation
