Regione,Macroarea,eurostat_indice_divario_intergenerazionale_occupazione_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,14.4,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,15.1,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,15.5,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,13.9,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,15.0,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,15.0,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,14.4,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,13.9,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,18.8,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,17.8,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,17.2,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,19.7,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,31.3,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,28.8,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,28.4,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,28.0,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,28.9,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,27.7,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,30.6,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,28.7,Eurostat Social Scoreboard Intergenerazionale,Verificato e Certificato - Osservatorio Italienation
