Regione,Macroarea,eurostat_divario_terziaria_vs_target_ue_45_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,-10.8,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,-10.3,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,-10.6,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,-11.1,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,-10.6,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,-10.9,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,-11.9,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,-10.6,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,-13.4,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,-13.1,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,-13.3,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,-13.5,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,-22.0,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,-19.1,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,-21.4,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,-20.5,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,-20.6,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,-20.1,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,-21.9,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,-19.9,Eurostat Tertiary Comparison,Verificato e Certificato - Osservatorio Italienation
