track,grade_year,total_instruction_hours_per_year,compulsory_flexible_hours,source
Liceo Classico,1,1056,0,Eurydice 2023/2024
Liceo Classico,2,1056,0,Eurydice 2023/2024
Liceo Classico,3,1056,0,Eurydice 2023/2024
Liceo Classico,4,1056,0,Eurydice 2023/2024
Liceo Classico,5,1056,0,Eurydice 2023/2024
Liceo Scientifico,1,891,0,Eurydice 2023/2024
Liceo Scientifico,2,891,0,Eurydice 2023/2024
Liceo Scientifico,3,990,0,Eurydice 2023/2024
Liceo Scientifico,4,990,0,Eurydice 2023/2024
Liceo Scientifico,5,990,0,Eurydice 2023/2024
Istituto Tecnico,1,1056,0,Eurydice 2023/2024
Istituto Tecnico,2,1056,0,Eurydice 2023/2024
Istituto Tecnico,3,1056,0,Eurydice 2023/2024
Istituto Tecnico,4,1056,0,Eurydice 2023/2024
Istituto Tecnico,5,1056,0,Eurydice 2023/2024
Istituto Professionale,1,1056,264,Eurydice 2023/2024
Istituto Professionale,2,1056,264,Eurydice 2023/2024
Istituto Professionale,3,1056,264,Eurydice 2023/2024
Istituto Professionale,4,1056,264,Eurydice 2023/2024
Istituto Professionale,5,1056,264,Eurydice 2023/2024
