Regione,Macroarea,excelsior_quota_difficolta_reperimento_imprese_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,52.3,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,46.5,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,46.2,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,49.7,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,49.3,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,46.7,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,49.6,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,51.2,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,44.3,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,50.6,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,44.4,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,45.0,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,40.3,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,36.8,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,42.6,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,40.4,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,39.9,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,38.5,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,38.2,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,40.7,Unioncamere Excelsior Fabbisogni,Verificato e Certificato - Osservatorio Italienation
