Regione,Macroarea,dgmc_segnalazioni_giustizia_minorile_per_10k_minori_n,dgmc_quota_esito_positivo_messa_alla_prova_ussm_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,70.2,79.7,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
VALLE D'AOSTA,Nord-Ovest,61.0,73.4,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
LOMBARDIA,Nord-Ovest,63.5,77.6,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
TRENTINO-ALTO ADIGE,Nord-Est,67.4,78.3,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
VENETO,Nord-Est,62.9,82.0,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
FRIULI-VENEZIA GIULIA,Nord-Est,81.5,78.4,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
LIGURIA,Nord-Ovest,71.1,83.8,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
EMILIA-ROMAGNA,Nord-Est,73.2,81.5,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
TOSCANA,Centro,84.7,70.0,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
UMBRIA,Centro,91.7,74.2,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
MARCHE,Centro,88.9,74.4,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
LAZIO,Centro,91.2,75.6,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
ABRUZZO,Sud,137.7,62.5,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
MOLISE,Sud,133.3,62.0,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
CAMPANIA,Sud,137.8,61.5,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
PUGLIA,Sud,136.8,57.2,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
BASILICATA,Sud,135.4,60.1,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
CALABRIA,Sud,147.6,62.3,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
SICILIA,Isole,136.9,61.0,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
SARDEGNA,Isole,127.4,61.8,Ministero della Giustizia DGMC / ISTAT Statistiche Giudiziarie,Misura l'impatto penale e giudiziario della marginalità educativa precoce nei territori ad alta dispersione occulta.
