ANNOSCOLASTICO,CODICEISTITUTO,SEZIONE,CODICECRITERIO,PUNTEGGIOSCUOLA,MOTIVAZIONEPUNTEGGIOSCUOLA,_source_file,_dataset_id,_extracted_at
201617,NAIS112008,Esiti,21,3,"Le condizioni per il successo scolastico sono definite e concretamente raggiungibili. Tuttavia il successo scolastico non e' uniforme nell'intero corso di studio e, al termine del biennio obbligatorio, la percentuale di insuccesso risulta notevolmente piu' alta. Le attivita' di recupero non sempre intercettano le cause dell'insuccesso e i problemi concreti dello studente. L'ammissione alla classe successiva nei primi scrutini di giugno e' pari a circa i 3/4 degli studenti, quota che si eleva fino al 90% degli esaminati negli scrutini di recupero. Il numero di studenti che abbandona la scuola, richiedendo nulla osta verso altri indirizzi di studio, non e' particolarmente alto ma si concentra nei primi tre anni.nell'indirizzo tecnico e del liceo delle scienze umane i risultati del biennio dell'obbligo indicano una discreta capacita' di lavorare e incrementare le competenze di base.Il lavoro didattico sulla trasversalita' delle competenze, con un progetto unitario da parte dei vari dipartimenti disciplinari, e' recente e ancora incompleto: le prove d'istituto per competenze non sono generalizzate, limitate alla fase diagnostica. Gli esiti sono piuttosto diversificati da classe a classe Non e' ancora visibile una tendenza all'equita' e alla comparabilita' degli esiti, derivanti da procedure di programmazione e valutazione condivise. Il lavoro di programmazione e' strutturato e dettagliato negli organismi collegiali, tuttavia si registra ancora uno scarto significativo tra il dichiarato e l'agito nell'attuazione delle intenzioni programmatorieDa diversi anni si condividono le griglie di valutazione, tuttavia manca ancora una condivisione puntuale e operativa di tutti i momenti della valutazione a livello d'istituto",VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,FRIC84000G,Esiti,23,5,Motivazione non dichiarata,VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,LUIC836003,Esiti,22,5,"Il punteggio di italiano e matematica dell'Istituto alle prove INVALSI e' superiore a quello di scuole con background socio economico e culturale simile sia nella scuola primaria che nella scuola secondaria di I grado. I punteggi delle classi sono generalmente uguali o superiori alle medie delle scuole di appartenenza sia in italiano che in matematica, anche se ci sono casi di singole classi che si discostano in negativo, soprattutto in matematica. La quota di studenti collocata nel livello 1 in italiano e in matematica e' al di sotto della media regionale e nazionale per tutte le classi la percentuale degli studenti che invece si colloca ai livelli piu' alti e' superiore alla media. L'effetto della scuola sui risultati degli studenti nelle prove e' pari o leggermente superiore alla media della regione, dell'area geografica e della nazione.",VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,BGIC855001,Esiti,21,6,"La quota di studenti ammessa all'anno successivo e' superiore ai riferimenti nazionali. Gli abbandoni e i trasferimenti in uscita sono in linea o inferiori ai riferimenti nazionali. La quota di studenti collocata nelle fasce di punteggio medio alte all'Esame di Stato (8 10 e lode nel I ciclo) e' superiore o pari ai riferimenti nazionali.Gli insegnanti hanno progettato attivita' e percorsi in piccolo gruppo in orario sia curricolare che extracurricolare, volti al recupero delle difficolta' e alla valorizzazione delle eccellenze.",VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,TPIC836004,Esiti,24,4,"I risultati degli studenti nel successivo percorso di studio sono buoni: pochi studenti incontrano difficolta' di apprendimento (non sono ammessi alla classe successiva, hanno debiti formativi o cambiano l'indirizzo di studio) e il numero di abbandoni nel percorso di studi successivo e' molto contenuto. I risultati nelle prove INVALSI purtroppo non sono positivi nella Secondaria.",VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,SOIC80300T,Esiti,23,4,Dalle osservazioni sistematiche emerge che gli studenti sviluppano discrete competenze per la vita evidenti nell'autonomia e nell'organizzazione personale.,VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,VIIC820008,Esiti,21,4,L'Istituto perde pochi studenti nel passaggio da un anno all'altro.La distribuzione degli studenti per fasce di voto evidenzia una situazione di equilibrio. I corsi di alfabetizzazione che si riesce ad attivare danno buoni risultati. La scuola segue con attenzione le situazioni difficili e mette in atto tutte le strategie possibili per superare le problematiche. La collaborazione con le famiglie e' costante e costruttiva.,VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,RMIC8EV004,Esiti,23,5,Motivazione non dichiarata,VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,VAPS11000A,Esiti,22,4,"Il punteggio di italiano e matematica della scuola ottenuto nelle prove INVALSI e' inferiore rispetto a quello di scuole con background socio economico e culturale simile. I punteggi delle diverse classi in italiano (29,8%) sono sensibilmente distanti sebbene inferiori alla media del Nord Ovest (55,7%)in Matematica risultano molto distanti (64,1%) e superiori alle percentuali del Nord Ovest (48,9%) al contrario la varianza dentro le classi in italiano raggiunge il 70,2% e risulta superiore al Nord Ovest (44,3%) in matematica e' inferiore (35,9%) rispetto alla media del Nord Ovest (55,1%). La quota di studenti collocata nei livelli 1 e 2 in italiano e' sostanzialmente uguale alla media nazionale, ma superiore alle medie del Nord Ovest e della Lombardia mentre in Matematica tale quota (37,6%) e' inferiore alla media nazionale (44,9%) e superiore rispetto sia al Nord Ovest (32,5%) sia alla Lombardia (26,4%).Va comunque precisato che i dati si basano su un campione ristretto di classi a causa dello sciopero indetto da i sindacati.La situazione complessiva rivela dunque diversi punti critici.",VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
201617,BOIC88100B,Esiti,21,6,Complessivamente si riscontra una situazione con valutazioni concentrate nelle fasce tra il voto 7 e 9.Gli abbandoni sono nella media e gli insuccessi si attestano a livelli inferiori alla media.,VALUTAZIONE_ESITI_STA20161720170831.csv,VALUTAZIONE_ESITI_STA,2026-06-15T00:39:05.252660
