Regione,Precariousness_Rate,No_Agibilita_Rate,Degrado_Urbano_Rate,NEET_Rate,Structural_Decay_Index
BASILICATA,15.93,72.46,0.0,30.7,29.47
SARDEGNA,25.27,85.65,0.0,29.2,36.97
MOLISE,20.07,53.24,0.0,28.3,24.44
SICILIA,19.26,78.62,0.0,28.1,32.63
ABRUZZO,24.91,68.55,0.0,27.7,31.15
CAMPANIA,16.12,61.91,0.0,27.6,26.01
PUGLIA,20.84,71.55,0.0,27.1,30.79
CALABRIA,17.1,71.36,0.0,26.1,29.49
MARCHE,23.89,50.36,0.0,17.9,24.75
LAZIO,24.15,87.69,0.0,17.9,37.28
TOSCANA,27.25,62.53,0.0,17.2,29.93
UMBRIA,27.36,60.42,0.0,14.7,29.26
EMILIA-ROMAGNA,26.97,54.11,0.0,13.4,27.03
FRIULI-VENEZIA GIULIA,24.22,47.43,0.0,13.1,23.88
PIEMONTE,31.78,46.11,0.0,12.7,25.96
LOMBARDIA,29.35,49.93,0.0,11.9,26.42
LIGURIA,28.76,68.85,0.0,11.8,32.54
VENETO,26.39,46.8,0.0,11.4,24.4
